n,cig,strutturaProponente:codiceFiscaleProp,strutturaProponente:denominazione,importoAggiudicazione,importoSommeLiquidate,oggetto,sceltaContraente,tempiCompletamento:dataInizio,tempiCompletamento:dataUltimazione,lottoID
1,5165777608,01232710374,Comune di Bologna,736475.00,1050385.35,"AGGIUDICAZIONE DEFINITIVA, A SEGUITO DI PROCEDURA NEGOZIATA, DEI LAVORI PER LA REALIZZAZIONE DI 12 ALLOGGI PER OSPITARE 50 PERSONE NELLA RESIDENZA ""GANDHI"" IN VIA PIRATINO NEL Q.RE SAN DONATO, ALL'IMPRESA OMNIA IMPIANTI SRL DI S. GIOVANNI IN FIORE (C",04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,,,idm3
2,5039705022,01232710374,Comune di Bologna,81640.00,77781.01,"AGGIUDICAZIONE DEFINITIVA, A SEGUITO DI PROCEDURA APERTA CON IL CRITERIO DELL'OFFERTA ECONOMICAMENTE PIU' VANTAGGIOSA AI SENSI DELL'ART. 83 DEL D.LGS. 163/06 E SS.MM.II., PER LA FORNITURA E INSTALLAZIONE DEI VARCHI DI TELECONTROLLO DEGLI ACCESSI ALLA",01-PROCEDURA APERTA,,,idm50
3,5181241F51,01232710374,Comune di Bologna,64391791.30,46711842.26,"ADESIONE ALLA CONVENZIONE CONSIP ""SERVIZIO LUCE 2"" PER LA GESTIONE DEGLI IMPIANTI DI ILLUMINAZIONE PUBBLICA, DEI SEMAFORI E DEGLI IMPIANTI TECNOLOGICI A SERVIZIO DEL TUNNEL RAVONE",26-AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,,,idm68
4,46517097B2,01232710374,Comune di Bologna,540600.00,410244.00,GESTIONE E MANUTENZIONE STRAORDINARIA IMPIANTO SPORTIVO DI QUARTIERE G. BERNARDI,01-PROCEDURA APERTA,,,idm83
5,5237361704,01232710374,Comune di Bologna,41893429.83,35313239.01,Procedura aperta per l'affidamento del servizio quinquennale di manutenzione del patrimonio verde comunale.,01-PROCEDURA APERTA,2014-05-19+02:00,2019-05-18+02:00,idm98
6,512104867E,01232710374,Comune di Bologna,13633685.49,47902825.63,"Procedura aperta per l'affidamento del servizio di manutenzione quinquennale del patrimonio stradale, strade e segnaletica e del servizio neve.",01-PROCEDURA APERTA,,,idm146
7,55011951BA,01232710374,Comune di Bologna,801177.25,730595.26,Fornitura inerente il potenziamento del sistema di telecontrollo dei transiti alle corsie preferenziali (RITA) e degli accessi alla zona a traffico limitato (SIRIO) della zona ad alta pedonabilità e di alcune aree pedonali (ZAP),01-PROCEDURA APERTA,,,idm183
8,5224773313,01232710374,Comune di Bologna,1750000.00,1151062.78,"GARA FINALIZZATE ALLA CONCESSIONE DELLA GESTIONE, SENZA RILEVANZA ECONOMICA CON MODALITA' A BUDGET, DEL CENTRO SPORTIVO BARCA POSTO IN BOLOGNA,  VIA R. SANZIO 6-8,  PER IL PERIODO 1/1/2014 - 31/12/2022",01-PROCEDURA APERTA,,,idm211
9,522465300D,01232710374,Comune di Bologna,691200.00,454775.00,"GARA FINALIZZATE ALLA CONCESSIONE DELLA GESTIONE, SENZA RILEVANZA ECONOMICA CON MODALITA' A BUDGET, DEL CENTRO SPORTIVO CAVINA POSTO IN BOLOGNA,  VIA BIANCOLELLI N. 36 - PER IL PERIODO 1/1/2014 - 31/12/2022.",01-PROCEDURA APERTA,,,idm226
10,Z500D3ED40,01232710374,Comune di Bologna,3135.40,3135.00,AFFIDAMENTO ALLA SOCIETA' GLOBAL NETWORK ENGINEERING S.R.L. DELLA MANUTENZIONE TECNICA DI DUE POSTAZIONI PER L'EMISSIONE DI CARTA DI IDENTITA' ELETTRONICA,23-AFFIDAMENTO DIRETTO,,,idm241
11,50888056BA,01232710374,Comune di Bologna,334876719.89,429143818.99,IMPEGNO DI SPESA PER LA GESTIONE DEI SERVIZI DI NETTEZZA URBANA CON HERA,26-AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,,,idm256
12,5477007926,01232710374,Comune di Bologna,2747467.80,2112470.26,Servizio di trasporto scolastico collettivo del Comune di Bologna. Anni scolastici dal 2014/2015 al 2019/2020,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,2014-09-08+02:00,,idm271
13,57354345DC,01232710374,Comune di Bologna,2199796.72,1014004.33,"CONVENZIONE PER I SERVIZI DI GESTIONE ORDINARIA, ACCERTAMENTO E SUPPORTO ALLA RISCOSSIONE ORDINARIA E COATTIVA DIRETTA DEI TRIBUTI E DELLE ENTRATE COMUNALI STIPULATA FRA INTERCENT-ER E IL R.T.I. FORMATO DALLE IMPRESE ENGINEERING TRIBUTI S.P.A (MANDAT",26-AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,2014-04-29+02:00,,idm287
14,5728152C8E,01232710374,Comune di Bologna,1562773.75,1829664.50,"Servizio di gestione e manutenzione degli impianti speciali (antintrusione, tv circuito chiuso, rilevazione e segnalazione incendi) installati nei fabbricati comunali, e servizio di centrale operativa e vigilanza - durata pluriennale",01-PROCEDURA APERTA,2014-10-01+02:00,,idm317
15,5713860A6D,01232710374,Comune di Bologna,683356.30,246648.23,"SERVIZIO DI LAVANDERIA DEI CAPI DI VESTIARIO IN DOTAZIONE AL CORPO DI POLIZIA MUNICIPALE E SERVIZIO DI PICCOLA SARTORIA,  PER UNA DURATA CONTRATTUALE DI CINQUE ANNI.",01-PROCEDURA APERTA,2014-10-28+01:00,,idm349
16,52581266D6,01232710374,Comune di Bologna,850000.00,3356367.87,GESTIONE DEI SERVIZI CIMITERIALI E FUNERARI,03-PROCEDURA NEGOZIATA PREVIA PUBBLICAZIONE,,,idm365
17,520547912A,01232710374,Comune di Bologna,152893.95,161800.00,AGGIUDICAZIONE DELLA CONCESSIONE IN GESTIONE SENZA RILEVANZA ECONOMICA DEL CENTRO POLISPORTIVO PILASTRO DEL TERRITORIO DEL QUARTIERE SAN DONATO AL COSTITUENDO RTI FORMATO DA PROMOTER SPORT SCSD (MANDATARIA) E FORTITUDO RUGBY BOLOGNA ASD (MANDANTE) PE,01-PROCEDURA APERTA,2014-10-10+02:00,2016-08-31+02:00,idm380
18,6009139260,01232710374,Comune di Bologna,0.00,77591705.79,"Servizio pluriennale  per la gestione impianti tecnologici, manutenzione delle strutture edili, climatizzazione ed energia degli immobili destinati ad attività scolastica, ad uffici giudiziari, musei, biblioteche ed altri immobili di importanza citta",01-PROCEDURA APERTA,2015-05-31+02:00,,idm397
19,5814181DEE,01232710374,Comune di Bologna,61019.70,57120.78,"AGGIUDICAZIONE DEFINITIVA, A SEGUITO DI PROCEDURA NEGOZIATA, ALL'ING. VECCHI FEDERICO DELL'INCARICO PROFESSIONALE DI SUPPORTO AL R.U.P. PER LA GESTIONE DELLA SICUREZZA NEL CONTRATTO DI SERVIZIO PER LA MANUTENZIONE DEL PATRIMONIO COMUNALE DEL VERDE PU",04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,2014-08-05+02:00,2016-12-31+01:00,idm433
20,ZDF123C563,01232710374,Comune di Bologna,3650.00,2904.83,"AFFIDAMENTO DIRETTO AI SENSI DELL'ART. 125, COMMA 11 DEL D.LGS.N. 163/2006 DEI SERVIZI DI RIPARAZIONE E MANUTENZIONE DI ATTREZZATURE PER I NIDI D'INFANZIA, ALLE DITTE RASPANTI DI PASINI MAURO, STANZANI LORIS E GOTTARDI GIULIANO E C. S.N.C., BERTOCCHI",23-AFFIDAMENTO DIRETTO,2015-01-01+01:00,2015-12-31+01:00,idm459
21,6068164757,01232710374,Comune di Bologna,464300.00,440531.97,LAVORI DI RISTRUTTURAZIONE ED ADEGUAMENTO NORMATIVO DEL FABBRICATO SITO IN VIA COLOMBAROLA N. 42 DA DESTINARE A COMUNITA’ SEMIRESIDENZIALE PER MINORI,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,2015-05-19+02:00,,idm476
22,620221126E,01232710374,Comune di Bologna,66140064.00,56292110.38,"SERVIZIO DI REFEZIONE SCOLASTICA PER LE SCUOLE D’INFANZIA, SCUOLE  PRIMARIE E SCUOLE SECONDARIE DI PRIMO GRADO TRAMITE ACQUISTO DI RAMO D’AZIENDA E GESTIONE DEI CENTRI PRODUZIONE PASTI COMUNALI",01-PROCEDURA APERTA,2015-09-01+02:00,,idm517
23,626619320C,01232710374,Comune di Bologna,645035.61,320457.03,"CONCESSIONE DELLA GESTIONE DEL NIDO D’INFANZIA ""IL GIARDINO SEGRETO""",01-PROCEDURA APERTA,,,idm544
24,6266206CC3,01232710374,Comune di Bologna,2079000.00,1167156.36,"CONCESSIONE DELLA GESTIONE DEL SERVIZIO EDUCATIVO E SCOLASTICO DENOMINATO ""PROGETTO UNOSEI""",01-PROCEDURA APERTA,,,idm559
25,63362273EE,01232710374,Comune di Bologna,10140000.00,8698160.67,Servizi pluriennali di manutenzione e assistenza informatica,01-PROCEDURA APERTA,2016-02-01+01:00,,idm574
26,6335598CDA,01232710374,Comune di Bologna,475048.85,550090.46,Polizza All Risks,01-PROCEDURA APERTA,,,idm598
27,63356106C3,01232710374,Comune di Bologna,308000.00,461030.00,Polizza Responsabilità Civile verso Terzi e prestatori d'Opera,01-PROCEDURA APERTA,,,idm613
28,6003425707,01232710374,Comune di Bologna,141333.30,167849.55,"Servizio per la manutenzione dei segnali inerenti l'informazione toponomastica, la numerazione civica e la numerazione interna nell'intero territorio del Comune di Bologna",04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,2015-10-19+02:00,2018-10-18+02:00,idm628
29,6420618D93,01232710374,Comune di Bologna,3949076.39,1901594.63,Lavori di recupero della Tettoia Nervi e dei servizi pubblici correlati (edificio polifunzionale) localizzati all'interno della Z.I.S. - R 5.2 Zona Navile - Ex Mercato Ortofrutticolo,01-PROCEDURA APERTA,2016-09-28+02:00,,idm669
30,6414728102,01232710374,Comune di Bologna,548337.80,322954.95,"ADESIONE ALLA CONVENZIONE CONSIP ""APPARECCHIATURE MULTIFUNZIONE 24 - NOLEGGIO""
PER IL SERVIZIO DI NOLEGGIO APPARECCHIATURE MULTIFUNZIONE PER IL COMUNE DI BOLOGNA 2016-2020.",26-AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,2016-01-01+01:00,2020-12-31+01:00,idm789
31,6438997C68,01232710374,Comune di Bologna,497040.00,395643.84,Sostituzione e miglioramento apparati telecontrollo traffico,01-PROCEDURA APERTA,2016-05-31+02:00,2016-11-30+01:00,idm806
32,64940091C2,01232710374,Comune di Bologna,1950139.56,1910067.24,PROCEDURA APERTA PER L’APPALTO DEL SERVIZIO DI DIGITALIZZAZIONE DEGLI ARCHIVI DELLE PRATICHE EDILIZIE ED URBANISTICHE DEL COMUNE DI BOLOGNA . DURATA DELL’APPALTO: 30 MESI,01-PROCEDURA APERTA,2016-09-08+02:00,2020-04-02+02:00,idm831
33,650124229E,01232710374,Comune di Bologna,5600.00,3912.60,"ADESIONE ALLA CONVENZIONE CONSIP ""APPARECCHIATURE MULTIFUNZIONE 24 - NOLEGGIO""
PER IL SERVIZIO DI NOLEGGIO APPARECCHIATURA MULTIFUNZIONE A COLORI PER IL COMUNE DI BOLOGNA 2016-2020.",26-AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,2016-01-01+01:00,2020-12-31+01:00,idm854
34,65483193C9,01232710374,Comune di Bologna,910746.29,995856.93,"Servizio per gli interventi larvicidi ed adulticidi per la lotta alla zanzara tigre, derattizzazione e disinfestazione contro altri infestanti, contenimento di altri animali sinantropi in aree di pertinenza comunale nel territorio del Comune di Bolog",01-PROCEDURA APERTA,2016-06-01+02:00,2019-12-31+01:00,idm871
35,65562840B7,01232710374,Comune di Bologna,1207030.00,606102.11,Realizzazione dell'edificio Centro di Produzione Pasti Lazzaretto e opere funzionali all'accessibilità - Corpo 2 - Realizzazione edificio al grezzo,01-PROCEDURA APERTA,2018-06-06+02:00,,idm894
36,6515407BEF,01232710374,Comune di Bologna,294315.35,349055.65,RIQUALIFICAZIONE URBANA IN VIA DEL ROSARIO/TREBBO 12,03-PROCEDURA NEGOZIATA PREVIA PUBBLICAZIONE,2016-06-13+02:00,2017-10-17+02:00,idm979
37,ZC9186E1E9,01232710374,Comune di Bologna,3872.37,3659.81,"ORGANIZZAZIONE DI VIAGGIO E SOGGIORNO PER LA PARTECIPAZIONE DI UNA DELEGAZIONE DELLA CITTA' DI BOLOGNA AD UNO SCAMBIO DI COLLABORAZIONE CON LA CITTA' GIAPPONESE DI HAMAMATSU, NELL'AMBITO DELLE INIZIATIVE DI BOLOGNA CITTA' CREATIVA DELLA MUSICA UNESCO",23-AFFIDAMENTO DIRETTO,,,idm1017
38,6443591B7F,01232710374,Comune di Bologna,47285.00,47285.00,"AFFIDAMENTO DI UN'ATTIVITA' DI MANUTENZIONE DI UN SISTEMA DI NR. 5 PANNELLI INFORMATIVI A MESSAGGIO VARIABILE RELATIVI ALLA ZONA UNIVERSITARIA E LA COSIDDETTA ""T"" E FORNITURA DI RELATIVA PIATTAFORMA DI GESTIONE NONCHE' DI UN SISTEMA DI NR. 9 PANNELLI",04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,2016-02-10+01:00,2016-12-31+01:00,idm1032
