n,cig,strutturaProponente:codiceFiscaleProp,strutturaProponente:denominazione,importoAggiudicazione,importoSommeLiquidate,oggetto,sceltaContraente,tempiCompletamento:dataInizio,tempiCompletamento:dataUltimazione,lottoID
1,Z411BE685E,00221940364,Affari Generali e Istituzionali,7200.00,4800.00,PERSONALIZZAZIONI SU SW SFERA  ADS  MEPA,23-AFFIDAMENTO DIRETTO,2016-11-21,,idm3
2,ZE02A052FE,00221940364,"Cultura, Sport e Politiche Giovanili",750.00,0,"Biblioteche e Archivio storico - itinerari didattici Progetto 1948: costituzione, propagnada e voto - affidamento a Paola Gemelli -",23-AFFIDAMENTO DIRETTO,2019-11-20,2020-05-30,idm22
3,Z2E2A05214,00221940364,"Cultura, Sport e Politiche Giovanili",590.00,140.00,Biblioteche e Archivio Storico: itinerari didattici Progetto 1948: Affidamento a Degli Esposti -,23-AFFIDAMENTO DIRETTO,2019-10-17,2020-05-30,idm42
4,Z2A29BED62,00221940364,"Cultura, Sport e Politiche Giovanili",16800.30,16180.40,Biblioteche - Fornitura Periodici in abbonamento - Aggiudicazione RdO MEPA n. 2412813 -,06-PROCEDURA NEGOZIATA SENZA PREVIA INDIZIONE DI GARA (SETTORI SPECIALI),2019-11-14,2020-11-14,idm62
5,Z392A55393,00221940364,"Cultura, Sport e Politiche Giovanili",200.00,200.00,Biblioteche - fornitura audiolibri del Centro Internazionale del Libro Parlato -,23-AFFIDAMENTO DIRETTO,,,idm97
6,ZEC2A48DB9,00221940364,"Cultura, Sport e Politiche Giovanili",500.00,350.00,Biblioteche - Halloween parade in Biblioteca - Affidamento a La Bottega di Merlino -,23-AFFIDAMENTO DIRETTO,,,idm115
7,Z3D2A615CE,00221940364,"Cultura, Sport e Politiche Giovanili",400.00,0,Biblioteche - Iniziativa Mese della Scienza - affidamento di due laboratori a Cooperativa Ossigeno -,23-AFFIDAMENTO DIRETTO,,,idm133
8,ZE42A616B2,00221940364,"Cultura, Sport e Politiche Giovanili",350.00,0,Biblioteche - Iniziativa Mese della Scienza - affidamento di una narrazione a Cajka Teatro - Associazione Culturale Instabile 19 -,23-AFFIDAMENTO DIRETTO,,,idm151
9,Z4A2A61759,00221940364,"Cultura, Sport e Politiche Giovanili",1420.00,0,Biblioteche - Iniziativa Mese della Scienza - affidamento di tre laboratori scientifici a LeoScienza - UNILunior - Associazione Culturale Educativa Ricreativa Fun Science -,23-AFFIDAMENTO DIRETTO,,,idm169
10,80736277C3,00221940364,Risorse Umane e Strumentali,176841.25,0,"SERVIZIO DI INSTALLAZIONE, MANUTENZIONE, ASSISTENZA INFORMATICA DELLE COMPONENTI HARDWARE E SOFTWARE DI BASE, CENTRALI E DISTRIBUITE DEL SISTEMA INFORMATICO DEL COMUNE DI MODENA - CIG 6177094B37 - RINNOVO CONTRATTUALE CIG 80736277C3 -",01-PROCEDURA APERTA,2019-11-16,2020-11-15,idm187
11,Z142A8CFA2,00221940364,Risorse Umane e Strumentali,11654.71,0,"FORNITURA DI CARTA IN FORMATI DIVERSI PER IL CENTRO STAMPA UNIFICATO (CSU) - AFFIDAMENTO PONTE, TRAMITE IL MEPA DI CONSIP SPA, ALLA SOC. AUGUSTO BERNI, EX ART. 36, COMMA 2, LETT. A, D.LGS. 50/2016 -",23-AFFIDAMENTO DIRETTO,2019-11-20,2019-12-31,idm207
12,ZF22A9726B,00221940364,"Cultura, Sport e Politiche Giovanili",920.00,0,Servizio di assistenza elettrica per manifestazione al PalaPanini -,23-AFFIDAMENTO DIRETTO,2019-11-19,2019-12-31,idm227
13,Z792A959A6,00221940364,"Cultura, Sport e Politiche Giovanili",410.00,410.00,Servizio di utilizzo e allestimento Baluardo della Cittadella per la serata del 22/11/2019 -,23-AFFIDAMENTO DIRETTO,2019-11-19,,idm247
14,Z4E2A959D3,00221940364,"Cultura, Sport e Politiche Giovanili",650.00,650.00,Servizio catering in occasione della tavola rotonda del 22/11/2019 -,23-AFFIDAMENTO DIRETTO,2019-11-19,,idm266
15,ZE82A95A27,00221940364,"Cultura, Sport e Politiche Giovanili",1000.00,0,Servizio di collaborazione e assistenza progetto SCORES -,23-AFFIDAMENTO DIRETTO,2019-11-16,,idm285
16,Z4E2A4A7C5,00221940364,"Cultura, Sport e Politiche Giovanili",7500.00,7500.00,Progetto DAM - Servizio di trasporto della struttura in alluminio da Pinacoteca di Siena a Galleria Sabauda di Torino -,23-AFFIDAMENTO DIRETTO,2019-11-15,2019-11-19,idm304
17,Z7F2A5967C,00221940364,"Cultura, Sport e Politiche Giovanili",8251.00,2475.30,Scuola Sport 2019/2020 - Servizio per realizzazione progetto -,23-AFFIDAMENTO DIRETTO,2019-11-20,,idm324
18,ZDC2A5970A,00221940364,"Cultura, Sport e Politiche Giovanili",1723.00,516.90,Scuola Sport 2019/2019 - Servizi per la realizzazione del Progetto -,23-AFFIDAMENTO DIRETTO,2019-11-20,,idm343
19,Z5E2A59765,00221940364,"Cultura, Sport e Politiche Giovanili",16567.00,0,Scuola Sport 2019/2020 - Servizi per realizzazione Progetto -,23-AFFIDAMENTO DIRETTO,2019-11-20,,idm362
20,Z6A2A60580,00221940364,"Cultura, Sport e Politiche Giovanili",966.00,966.00,"Affitto degli spazi comprensivo del noleggio delle attrezzature elettriche, tecnico informatico e addetti all'accoglienza per iniziativa presentazione libro Lili Gruber -",23-AFFIDAMENTO DIRETTO,2019-11-23,2019-11-23,idm381
21,Z192A6082E,00221940364,"Cultura, Sport e Politiche Giovanili",368.00,368.00,Acquisto biglietti treno per iniziativa presentazione libro Lili Gruber -,23-AFFIDAMENTO DIRETTO,2019-11-23,2019-11-24,idm401
22,ZBF2A34BC4,00221940364,Istruzione e Rapporti con l'Università,1356.00,0,assistenza sw scuola web per la gestione delle presenze da parte delle segreterie degli iicc nel Comune e trasmissione dati all'ufficio scuole - risptorazione per l'anno 2020 - affidamento a mediasoft snc e impegno di spesa. -,23-AFFIDAMENTO DIRETTO,2020-01-01,2020-12-31,idm421
23,Z742A7C64F,00221940364,Polizia Municipale e Politiche per la Legalità e le Sicurezze,8050.00,0,FORNITURA E INSTALLAZIONE TELECAMERE DI VIDEOSORVEGLIANZA E REALIZZAZIONE INFRASTRUTTURA DI CONNETTIVITA' PRESSO VIALE GRAMSCI -,23-AFFIDAMENTO DIRETTO,,,idm441
24,80494421AD,00221940364,Lavori pubblici e manutenzione della città,147168.00,0,"RESTAURO FINALIZZATO ALLA REALIZZAZIONE DI LABORATORI APERTI - OPERE PER IL COMPLETAMENTO DELLA CENTRALE. EX CENTRALE AEM, SITA IN MODENA V.LE BUON PASTORE 43, 51, 57 E 59. -",23-AFFIDAMENTO DIRETTO,,,idm459
25,6861575ECD,00221940364,Affari Generali e Istituzionali,395280.00,263520.00,CENTRALINO ALCATEL-LUCENT EVOL.E MAN. TELECOM,26-AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,2016-12-01,2020-11-30,idm483
26,Z002978A36,00221940364,Istruzione e Rapporti con l'Università,150.00,0,Servizi Itinerari Scuola Citta a.s.2019/2020-Affidamenti CEAS Parchi Emilia Centrale -,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,2019-09-25,2020-06-30,idm503
27,Z042978A4F,00221940364,Istruzione e Rapporti con l'Università,100.00,0,Servizi Itinerari Scuola Citta a.s.2019/2020-Affidamenti CENTRO DOCUMENTAZIONE DONNA -,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,2019-09-25,2020-06-30,idm523
28,Z7129B1921,00221940364,Istruzione e Rapporti con l'Università,532.79,0,Prevenzione Gioco d'azzardo -Affidamento alla ditta Intendiamoci CIG Z7129B1921 -,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,2019-11-05,2019-11-19,idm543
29,Z882978B92,00221940364,Istruzione e Rapporti con l'Università,3438.00,0,SERVIZI ITINERARI SCUOLA CITTA' a.s. 2019/2020 CIVICO PLANETARIO F.MARTINO -,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,2019-09-25,2020-06-30,idm563
30,Z0229788C4,00221940364,Istruzione e Rapporti con l'Università,3853.00,0,Servizi Itinerari Scuola Citta a.s.2019/2020 AFFIDAMENTI CLUB 64 A.S.D -,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,2019-09-25,2020-06-30,idm583
31,Z90297D83E,00221940364,Istruzione e Rapporti con l'Università,2400.00,0,Servizi Itinerari Scuola Citta a.s.2019/2020 AFFIDAMENTI  Cooperativa Sociale Giovani Ambiente Lavoro -,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,2019-09-25,2020-06-30,idm603
32,ZB1297D850,00221940364,Istruzione e Rapporti con l'Università,400.00,0,Servizi Itinerari Scuola Citta a.s.2019/2020 AFFIDAMENTI  Cooperativa Sociale Mediando -,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,2019-09-25,2020-06-30,idm623
