n,cig,strutturaProponente:codiceFiscaleProp,strutturaProponente:denominazione,importoAggiudicazione,importoSommeLiquidate,oggetto,sceltaContraente,tempiCompletamento:dataInizio,tempiCompletamento:dataUltimazione,lottoID
1,0000000000,84006890481,Comune di Prato,111.00,0.00,Solenni Alessandro - Autorizzazione svolgimento attività extra istituzionale.,01-PROCEDURA APERTA,,,idm3
2,0000000000,84006890481,Comune di Prato,370.00,0.00,Partecipazione di un dipendente a corso di formazione:,23-AFFIDAMENTO DIRETTO,2019-02-18,2019-03-13,idm15
3,0000000000,84006890481,Comune di Prato,284.26,284.26,Rimborso tramite economo di spesa per l'acquisto di una rampa pieghevole.,23-AFFIDAMENTO DIRETTO,2019-01-23,2019-02-07,idm35
4,0000000000,84006890481,Comune di Prato,7.00,0.00,Consiag Servizi Comuni- Giardini via Vulcano - Fornitura e posa in opera di cancello,24-AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE,,,idm55
5,0000000000,84006890481,Comune di Prato,370.00,0.00,Liquidazione corso formazione:,23-AFFIDAMENTO DIRETTO,2019-02-18,2019-03-13,idm67
6,0000000000,84006890481,Comune di Prato,28551.60,0.00,Consiag Servizi Comuni - Giardini di via Beethoven - Intervento di adeguamento dotazione attrezzature ludiche e arredi- CUP C32E18000190004,24-AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE,,,idm87
7,0000000000,84006890481,Comune di Prato,33668.23,0.00,Consiag Servizi Comuni srl - Giardini Parco della Liberazione e della Pace - percorso fitness - CUP C32E18000190004,23-AFFIDAMENTO DIRETTO,,,idm99
8,0000000000,84006890481,Comune di Prato,46471.13,0.00,Consiag Servizi Comuni - saldo giardini  San Giorgio a Colonica - CUP C32E18000140004,24-AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE,,,idm111
9,0000000000,84006890481,Comune di Prato,40885.89,0.00,Consiag Servizi Comuni - Progetto miglioramento aree verdi : giardini di via Murri - CUP C32E18000190004,24-AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE,,,idm123
10,0000000000,84006890481,Comune di Prato,24869.35,0.00,Consiag Servizi Comuni - Progetto area sgambatura via Ragnaia- zona la Querce - CUP C32E18000150004,24-AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE,,,idm135
11,0000000000,84006890481,Comune di Prato,38378.68,0.00,Consiag Servizi Comuni - Progetto miglioramento aree verdi: giardini di via Ferraris - Piazzale dei Bambini- CUP C32E18000170004,24-AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE,,,idm147
12,0000000000,84006890481,Comune di Prato,7320.00,0.00,Consiag Servizi Comuni -Addobbi natalizi 2018 per le festività dell'anno 2018-2019,24-AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE,,,idm159
13,0000000000,84006890481,Comune di Prato,9882.00,0.00,"Consiag Servizi Comuni - Sfalci in via Orione, via Nenni e Parco di Galceti",24-AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE,,,idm171
14,0000000000,84006890481,Comune di Prato,16000.00,16000.00,Consiag Servizi Comuni srl - Sfalci in aree verdi di proprietà comunali- Assunzione movimenti contabili-,24-AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE,2019-05-26,2019-06-28,idm183
15,0000000000,84006890481,Comune di Prato,7040.00,0.00,Giardini di via Vulcano - Lavori di istallazione di rete metallica con annesso cancello - Affidamento a Consiag Servizi Comuni srl.,24-AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE,,,idm203
16,0000000000,84006890481,Comune di Prato,60.00,0.00,U.O Turismo - Co-organizzazione dell'iniziativa,24-AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE,2019-04-03,2019-04-08,idm215
17,0000000000,84006890481,Comune di Prato,38555.99,0.00,Consiag Servizi Comuni - Riqualificazione giardini di via Amerigo Bresci - zona la Querce - CUP C32E18000150004,24-AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE,,,idm235
18,0000000000,84006890481,Comune di Prato,82.00,0.00,Liquidazione per corso di formazione:,24-AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE,2019-03-21,2019-03-21,idm247
19,0000000000,84006890481,Comune di Prato,0.00,0.00,Consiag Servizi Comuni srl- Interventi di miglioramento aree a verde pubblico - Piano potature straordinari- 2 trance,24-AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE,,,idm267
20,0000000000,84006890481,Comune di Prato,31081.71,31081.71,Consiag Servizi Comuni - Via del Guado - Intervento di riqualificazione Orti sociali - CUP C35H18000490004,24-AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE,,2019-05-30,idm279
21,0000000000,84006890481,Comune di Prato,1630000.00,0.00,"PH 331 - Ampliamento dei cimiteri di Coiano, Grignano e Mezzana - approvazione progetto esecutivo e determinazione a contrarre",24-AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE,,,idm292
22,0000000000,84006890481,Comune di Prato,7040.00,0.00,Giardini di via Vulcano - Istallazione di rete metallica con annesso cancello - Affidamento a Consiag Servizi Comuni - Assunzione movimenti contabili,24-AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE,2019-06-12,2019-06-28,idm304
23,0000000000,84006890481,Comune di Prato,7040.00,0.00,Giardini di via Vulcano - Istallazione di rete metallica con annesso cancello - Affidamento a Consiag Servizi Comuni - Assunzione movimenti contabili,24-AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE,2019-06-12,2019-06-28,idm324
24,0000000000,84006890481,Comune di Prato,3081.71,0.00,Consiag Servizi Comuni - Intervento di riqualificazione degli orti sociali di Via del Guado a Narnali.,24-AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE,,,idm344
25,0000000000,84006890481,Comune di Prato,7040.00,0.00,Consiag Servizi Comuni srl - Giardini via Vulcano - Istallazione rete metallica con annesso cancello,24-AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE,,,idm356
26,0000000000,84006890481,Comune di Prato,266935.22,0.00,Consiag Servizi Comuni srl - Acconto aprile - maggio - giugno 2019- Manutenzione e conservazione del verde pubblico.,24-AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE,,,idm368
27,0000000000,84006890481,Comune di Prato,49595.88,49595.88,Consiag servizi Comuni srl - Intervento di riqualificazione del giardino di Via Pomeria - Approvazione di certificato di regolare esecuzione - CUP C31E18000040004,24-AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE,2018-12-12,2019-06-30,idm380
28,0000000000,84006890481,Comune di Prato,31081.71,31081.71,Consiag servizi Comuni srl - Intervento di riqualificazione degli orti sociali di Via del Guado a Narnali - Approvazione di certificato di regolare esecuzione - CUP C35H18000490004,24-AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE,2018-10-30,2019-11-12,idm400
29,0000000000,84006890481,Comune di Prato,5500.00,5500.00,"Intervento urgente di installazione di un gruppo di pressurizzazione (autoclave) per la rete idrica e di n.2 serbatoi di raccolta acqua, a servizio degli orti urbani siti in loc. Viaccia, in via Gavinana- Finanziamento",24-AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE,2019-09-27,2019-09-10,idm420
30,0000000000,84006890481,Comune di Prato,370.00,370.00,Partecipazione di n. 2 dipendenti al corso:,23-AFFIDAMENTO DIRETTO,2019-10-09,2019-10-09,idm440
31,0000000000,84006890481,Comune di Prato,13456.19,13456.19,Giardini di via Baracca - Intervento di ripristino e riqualificazione urbana a seguito dell'abbattimento urgente delle alberature affette da tarlo asiatico - Approvazione di progetto definitivo - esecutivo e affidamento dei lavori a Consiag Servizi C,24-AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE,2019-10-15,2019-11-12,idm460
32,0000000000,84006890481,Comune di Prato,82.00,82.00,Partecipazione di un dipendente a corso di formazione del 25.10.2019 - assunzione impegno di spesa,23-AFFIDAMENTO DIRETTO,2019-10-25,2019-10-25,idm480
33,0000000000,84006890481,Comune di Prato,1345.19,1345.19,Giardini di via Baracca - Intervento di ripristino e riqualificazione urbana a seguito dell'abbattimento urgente delle alberature affette da tarlo asiatico - Approvazione di progetto definitivo - esecutivo e affidamento dei lavori a Consiag Servizi C,24-AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE,2019-10-25,2019-11-12,idm500
34,0000000000,84006890481,Comune di Prato,3630.00,0.00,Giardini di via Vulcano-  Recinzione area Polivalente - Affidamento a Consiag Servizi Comuni  srl,24-AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE,,,idm520
35,0000000000,84006890481,Comune di Prato,2049.18,0.00,Corteggio storico 2019 - servizio audio durante la sfilata e spettacolo pirotecnico.,23-AFFIDAMENTO DIRETTO,2019-09-08,2019-09-08,idm538
36,0000000000,84006890481,Comune di Prato,3630.00,3630.00,Giardini di via Vulcano-  Ripristino recinzione area Playground-  Affidamento a Consiag Servizi Comuni  srl,24-AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE,2019-11-19,2019-12-18,idm558
37,0000000000,84006890481,Comune di Prato,0.00,0.00,Parco delle Cascine di Tavola - istallazione nuovi cartelli e bacheca informativa - Affidamento a Consiag Servizi Comuni srl,24-AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE,,,idm578
38,0000000000,84006890481,Comune di Prato,5307.00,0.00,Sostituzione recinzione per accesso all'area di pesca-  sull'argine del fiume Bisenzio in via Firenze zona stadio - Affidamento a Consiag Servizi Comuni srl,24-AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE,,,idm596
39,0000000000,84006890481,Comune di Prato,28413.80,0.00,Potature straordinarie - Affidamento a Consiag Servizi Comuni srl,24-AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE,2019-12-24,,idm614
40,0000000000,84006890481,Comune di Prato,5307.00,0.00,Sostituzione cancello per accesso all'area di pesca- sull'argine del fiume Bisenzio in via Firenze zona stadio - Affidamento a Consiag Servizi Comuni srl,24-AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE,,,idm633
41,0000000000,84006890481,Comune di Prato,4026.00,0.00,Parco delle Cascine di Tavola - Sostituzione cartelli di divieto e bacheca informativa - Affidamento a Consiag Servizi Comuni srl,24-AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE,2019-12-23,2020-01-15,idm651
42,0000000000,84006890481,Comune di Prato,24416.15,0.00,Adeguamento giardino scuola d'infanzia Papa Giovanni XXIII in Via Saffi - località Iolo - Approvazione progetto esecutivo - Affidamento a Consiag Servizi Comuni srl - CUP C35C19000260004,24-AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE,2019-12-24,,idm671
43,0000000000,84006890481,Comune di Prato,16000.00,16000.00,Consiag Servizi Comuni srl - Sfalci non programmati  anno 2019 - su terreni di proprietà comunali -  Assunzione movimenti contabili-,24-AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE,2019-05-31,2019-06-28,idm690
44,0000000000,84006890481,Comune di Prato,10492.00,0.00,Alberi di Natale2019  - Festività 2019/2010 - Impegno di spesa per fornitura ed allestimento a favore di Consiag Servizi srl,24-AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE,2019-10-24,2020-01-16,idm710
45,0000000000,84006890481,Comune di Prato,18699.17,18699.17,Consiag servizi Comuni srl - Intervento di riqualificazione degli orti sociali di Via Toscanini  - Approvazione di certificato di regolare esecuzione - CUP C35H18000500004,24-AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE,2018-11-09,2019-11-29,idm730
46,0000000000,84006890481,Comune di Prato,5428.80,0.00,LUNA PARK 2019-IMPEGNI DI SPESA A FAVORE DI CONSIAG,24-AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE,2019-06-14,2019-09-20,idm750
47,0000000000,84006890481,Comune di Prato,2800.58,0.00,LUNA PARK 2019-ULTERIORE IMPEGNO DI SPESA A FAVORE DI CONSIAG SERVIZI COMUNI SRL,24-AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE,2019-07-16,2019-08-22,idm770
48,0000000000,84006890481,Comune di Prato,2748.00,0.00,"Impegno di spesa a favore di Consiag Servizi per il servizio di fornitura, trasporto e posa in opera di transenne necessarie allo svolgimento di manifestazioni programmate per l'anno 2019. Aumento dell'impegno di spesa.",24-AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE,2019-08-05,2019-09-30,idm790
49,0000000000,84006890481,Comune di Prato,978.29,0.00,"Impegno di spesa a favore di Consiag Servizi per il servizio di fornitura, trasporto e posa in opera di transenne necessarie allo svolgimento di manifestazioni programmate per l'anno 2019. Aumento dell'impegno di spesa.",24-AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE,2019-09-27,2019-10-15,idm810
50,0000000000,84006890481,Comune di Prato,407.35,0.00,Canone Rai per apparecchio tv in Centrale Operativa della Polizia Municipale - anno 2020,23-AFFIDAMENTO DIRETTO,2020-01-01,2020-12-31,idm830
51,0000000000,84006890481,Comune di Prato,82.00,82.00,Corso di formazione ANCI Toscana su,23-AFFIDAMENTO DIRETTO,2019-03-21,2019-03-21,idm850
52,0000000000,84006890481,Comune di Prato,180.00,180.00,Integrazione n. 1 partecipante a corso di formazione del 09.10.2019 - Rimodulazione impegno di spesa,23-AFFIDAMENTO DIRETTO,2019-10-09,2019-10-09,idm870
53,0000000000,84006890481,Comune di Prato,4039.53,0.00,Eventi culturali: Settembre Prato è spettacolo. Cartellonistica stradale. impegno di spesa,24-AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE,2019-12-31,,idm890
54,0000000000,84006890481,Comune di Prato,1000.00,994.02,Eventi culturali: PratoFestival 2019. Sponsorizzazioni su social network. Impegno di spesa per anticipazione economale,23-AFFIDAMENTO DIRETTO,2019-11-11,2019-12-24,idm909
55,0000000000,84006890481,Comune di Prato,900.00,899.50,Officina giovani: anticipazione economale per attività promozionali,23-AFFIDAMENTO DIRETTO,2019-02-13,2019-07-16,idm929
56,0000000000,84006890481,Comune di Prato,200.00,200.00,Interventi culturali: anticipazione per promozione a mezzo sociale network di Prato Estate 2019,23-AFFIDAMENTO DIRETTO,2019-05-15,2019-12-24,idm949
57,0000000000,84006890481,Comune di Prato,82.00,82.00,Servizio Cultura Turismo e Promozione del Territorio; partecipazione di un dipendente al corso di formazione organizzato da ANCI Toscana,23-AFFIDAMENTO DIRETTO,2019-03-25,2019-07-25,idm969
