n,cig,strutturaProponente:codiceFiscaleProp,strutturaProponente:denominazione,importoAggiudicazione,importoSommeLiquidate,oggetto,sceltaContraente,tempiCompletamento:dataInizio,tempiCompletamento:dataUltimazione,lottoID
1,Z702062187,00239740905,Comune di Sassari,3915.96,2609.84,ADESIONE ALLA CONVENZIONE CONSIP APPARECCHIATURE MULTIFUNZIONE 27 PER NOLO 1 FOTOCOPIATORE SERVIZIO ELETTORALE,26-AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,2017-11-01,2020-11-01,idm3
2,ZDE2A76E34,00239740905,Comune di Sassari,960.00,960.00,FORNITURA CARTA SETTORE AFFARI GENERALI E SERVIZI AL CITTADINO - ADESIONE ALLA CONVENZIONE QUADRO CAT SARDEGNA,26-AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,2019-11-06,2019-11-11,idm23
3,Z862062098,00239740905,Comune di Sassari,2288.64,1525.41,ADESIONE CONVENZIONE CONSIP APPARECCHIATURE MULTIFUNZIONE 27 PER NOLO FOTOCOPIATORE SERVIZIO STATO CIVILE,26-AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,2017-11-01,2020-11-01,idm43
4,ZA5203C523,00239740905,Comune di Sassari,11696.70,2481.22,SERVIZIO DI PORTIERATO E VIDEOSORVEGLIANZA NEL MERCATO CIVICO TRAMITE RDO SUL MEPA APERTA A TUTTE LE DITTE ISCRITTE AL BANDO MEPA SERVIZI DI VIGILANZA E ACCOGLIENZA,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,2017-11-08,2018-06-30,idm63
5,ZBB2977219,00239740905,Comune di Sassari,634.69,204.10,"SERVIZIO DI NOLEGGIO DELLA MACCHINA FOTOCOPIATRICE MULTIFUNZIONE ""CONVENZIONE CONSIP 22"" RINNOVO CONTRATTO 12 MESI",23-AFFIDAMENTO DIRETTO,2019-09-04,2020-09-03,idm89
6,Z742AAE07D,00239740905,Comune di Sassari,45.00,45.00,ACQUISTO MANUALE AGGIORNATO SU CITTADINANZA.,23-AFFIDAMENTO DIRETTO,2019-11-18,2019-11-21,idm109
7,Z1E263F485,00239740905,Comune di Sassari,27500.00,8100.00,SERVIZIO DI TRASPORTO E ONORANZE FUNEBRI PER PERSONE INDIGENTI E PER IL RECUPERO DELLE SALME SUL TERRITORIO COMUNALE MEDIANTE RDO SU SARDEGNA CAT.,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,2019-04-04,,idm129
8,Z3B2A85CA5,00239740905,Comune di Sassari,.00,.00,FORNITURA DI UN SISTEMA DI GESTIONE DELLE CODE PER SERVIZIO PUNTO CITTA'. PROCEDURA NEGOZIATA TELEMATICA TRAMITE RDO SUL MEPA.,33-PROCEDURA NEGOZIATA PER AFFIDAMENTI SOTTO SOGLIA,2019-11-13,2019-11-27,idm160
9,67957920F8,00239740905,Comune di Sassari,1000.00,.00,PROCEDURA NEGOZIATA PER L'AFFIDAMENTO IN CONCESSIONE D'USO A SOGGETTI PRIVATI DI IMPIANTI PUBBLICITARI PER AFFISSIONI DIRETTE LOTTI 1 E 3 PER LA DURATA DI UN ANNO (LOTTO 1),04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,2016-11-24,,idm189
10,ZA52802BBE,00239740905,Comune di Sassari,147.53,147.53,ABBONAMENTO ONLINE AL QUOTIDIANO LA NUOVA SARDEGNA - SERVIZIO URP,23-AFFIDAMENTO DIRETTO,2019-04-30,2020-05-01,idm265
11,ZI82AF9F01,00239740905,Comune di Sassari,348.36,348.36,FORNITURA CAPI DI ABBIGLIAMENTO PER IL PERSONALE ADDETTO A MANSIONI DI ATTESA - UFFICI DEL CONSIGLIO COMUNALE,33-PROCEDURA NEGOZIATA PER AFFIDAMENTI SOTTO SOGLIA,2019-12-04,2019-12-19,idm285
12,Z7D2ACF559,00239740905,Comune di Sassari,979.93,614.43,FORNITURA CANCELLERIA E TONER,23-AFFIDAMENTO DIRETTO,2019-11-29,,idm308
13,Z3F2AFA2A7,00239740905,Comune di Sassari,15960.00,.00,FORNITURA DI UN SISTEMA DI GESTIONE DELLE CODE PER SERVIZIO PUNTO CITTA'. (RDO SUL MEPA APERTA A TUTTI ISCRITTI BANDO - N. 9946 DITTE),33-PROCEDURA NEGOZIATA PER AFFIDAMENTI SOTTO SOGLIA,2019-12-05,,idm327
14,6725505E49,00239740905,Comune di Sassari,109445.00,.00,PROCEDURA NEGOZIATA PER AFFIDAMENTO IN CONCESSIONE SPAZI PUBBLICITARI A SOGGETTI PRIVATI PER EFFETTUAZIONE DI AFFISSIONI DIRETTE PER N° 3 LOTTI (LOTTO 2),04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,2016-10-20,,idm358
15,Z782B442BC,00239740905,Comune di Sassari,240.00,240.00,SERVIZIO TRASPORTO REGISTRI E FALDONI DI STATO CIVILE E ANAGRAFE.,23-AFFIDAMENTO DIRETTO,2019-12-20,2019-12-30,idm413
16,Z0522C38DD,00239740905,Comune di Sassari,200.00,.00,FORNITURA ADESIVI PLASTIFICATI PER IMPIANTI PUBBLICITARI (TRAMITE TRATTATIVA DIRETTA SUL MEPA),23-AFFIDAMENTO DIRETTO,2018-03-19,2018-03-23,idm433
17,Z5F269B318,00239740905,Comune di Sassari,3170.00,3170.00,"SERVIZIO DI RIPRESA, REGISTRAZIONE, ED ASSISTENZA GESTIONALE ALL'IMPIANTO DI RIPRESA TELEVISIVA DELL'AULA CONSILIARE",23-AFFIDAMENTO DIRETTO,2019-01-09,2019-06-13,idm453
18,Z971B3002E,00239740905,Comune di Sassari,.00,.00,AFFIDAMENTO SERVIZIO RIMOZIONE IMPIANTI PUBBLICITARI DI AFFISSIONI DIRETTE,23-AFFIDAMENTO DIRETTO,,,idm473
19,ZC72A4A70C,00239740905,Comune di Sassari,1795.50,.00,SERVIZIO DI STREAMING E ON DEMAND DELLE RIPRESE DELLE SEDUTE DEL CONSIGLIO COMUNALE,23-AFFIDAMENTO DIRETTO,2019-11-04,2020-05-30,idm515
20,ZF920A8AB2,00239740905,Comune di Sassari,1020.00,1020.00,"ABBONAMENTO TRIENNALE ON-LINE AL QUOTIDIANO ""LA GAZZETTA DEGLI ENTI LOCALI""",23-AFFIDAMENTO DIRETTO,2017-11-22,2020-11-22,idm535
21,Z2116E58D9,00239740905,Comune di Sassari,200.00,.00,AFFIDAMENTO RIEMISSIONE DEL CERTIFICATO DI QUALITA',23-AFFIDAMENTO DIRETTO,2016-01-04,,idm555
