n,cig,strutturaProponente:codiceFiscaleProp,strutturaProponente:denominazione,importoAggiudicazione,importoSommeLiquidate,oggetto,sceltaContraente,tempiCompletamento:dataInizio,tempiCompletamento:dataUltimazione,lottoID
1,Z911ADBE57,00355870221,Comune di Trento,.00,.00,ELABORAZIONE DEI MATERIALI PER LO STUDIO PRELIMINARE BANDO PRESIDENZA CONS. MINISTRI,23-AFFIDAMENTO DIRETTO,2016-08-04,,idm3
2,69518521C1,00355870221,Comune di Trento,.00,.00,AFFIDAMENTO GESTIONE OSTELLO DELLA GIOVENTU' DI TRENTO,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,2018-03-01,2019-02-28,idm16
3,6031893B8F,00355870221,Comune di Trento,.00,216150.00,RINNOVO CONCESSIONE OSTELLO DELLA GIOVENTU' DI TRENTO DAL 1 MARZO 2015 - 28 FEBBRAIO 2018,03-PROCEDURA NEGOZIATA PREVIA PUBBLICAZIONE,2015-03-01,2018-02-28,idm36
4,77879893D5,00355870221,Comune di Trento,.00,.00,SERVIZIO DI ORGANIZZAZIONE LOGISTICA DELLA MANIFESTAZIONE TRENTO SMART CITY WEEK 2019,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,,,idm53
5,77457803DD,00355870221,Comune di Trento,.00,.00,LAVORI DI SISTEMA DI CONTROLLO IMPIANTI IRRIGAZIONI,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,,,idm83
6,7767913C95,00355870221,Comune di Trento,.00,.00,MANUTENZIONE E RIPARAZIONE DELLA CARROZZERIA DEGLI AUTOVEICOLI DI PROPRIETA' COMUNALE ANNO 2019,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,2019-01-30,2019-01-30,idm113
7,Z5F2724271,00355870221,Comune di Trento,.00,.00,Opere da falegname di tipo manutentivo negli edifici comunali anno 2019,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,,,idm136
8,ZA427199C5,00355870221,Comune di Trento,.00,.00,Lavori da pittore di tipo manutentivo in edifici comunali tutelati ? anno 2019,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,,,idm157
9,7958448F09,00355870221,Comune di Trento,.00,.00,ARREDO E SISTEMA DI OMBREGGIAMENTO NELLA CORTE INTERNA DELLE SCUOLE 'CRISPI' A TRENTO,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,,,idm187
10,ZE728E84B8,00355870221,Comune di Trento,.00,.00,Lavori da lattoniere di tipo manutentivo in vari edifici comunali - 2? semestre 2019,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,,,idm208
11,Z21277022E,00355870221,Comune di Trento,.00,.00,Lavori di fornitura e posa di pellicole solari e di sicurezza presso vari edifici di proprieta del comune di Trento - anno 2019.,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,,,idm229
12,Z522AA88E3,00355870221,Comune di Trento,.00,.00,Sondaggio informale per la fornitura di articoli per premiazioni,23-AFFIDAMENTO DIRETTO,,,idm250
13,7921029FE6,00355870221,Comune di Trento,.00,.00,"FORNITURA E CONSEGNA DI MATERASSI IGNIFUGHI, INCLUSO LO SMALTIMENTO DEI MATERASSI USURATI, PER I NIDI D'INFANZIA DEL COMUNE DI TRENTO A GESTIONE DIRETTA E INDIRETTA",04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,,,idm277
14,8089966323,00355870221,Comune di Trento,.00,0,Incarico di progettazione delle strutture - opera 646019 - 2^ lotto BLM Group Arena di trento,23-AFFIDAMENTO DIRETTO,,,idm289
15,ZEF29D75B9,00355870221,Comune di Trento,.00,.00,Noleggio condizionatori per manifestazione,23-AFFIDAMENTO DIRETTO,2019-09-20,2019-09-22,idm301
16,Z2A2826A7B,00355870221,Comune di Trento,.00,.00,Opere manutentive ordinarie per lavori da pittore presso istituti di istruzione primaria della citta anno 2019,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,,,idm321
17,7835951F50,00355870221,Comune di Trento,.00,.00,INTERVENTO 19/2019 - LAVORI SQUADRE 5 E 6 CON OPZIONE SQUADRA 7,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,,,idm342
18,7915321984,00355870221,Comune di Trento,.00,.00,FORNITURA STRUTTURE GIOCO IN ACCIAIO E LEGNO,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,,,idm390
19,8089279C32,00355870221,Comune di Trento,.00,.00,"SERVIZIO DI GESTIONE E MANUTENZIONE GRONDAIE, PLUVIALI, POZZETTI E RETI DI ACQUE METEORICHE, IMPIANTI DI SOLLEVAMENTO E SISTEMI DI ANCORAGGIO PERMANENTE IN COPERTURA",04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,,,idm411
20,79922147A1,00355870221,Comune di Trento,.00,.00,"Gestione e manutenzione grondaie, pluviali, pozzetti e reti acque meteoriche, impianto di sollevamento e sistemi di ancoraggio permanenti in copertura",01-PROCEDURA APERTA,,,idm462
21,81267072C5,00355870221,Comune di Trento,.00,.00,MANUTENZIONE STRAORDINARIA PRESSO UNA SEDE ASSOCIATIVA SITA IN VIALE DEGLI OLMI N. 24 A TRENTO,33-PROCEDURA NEGOZIATA PER AFFIDAMENTI SOTTO SOGLIA,,,idm474
22,775803442F,00355870221,Comune di Trento,.00,0,Servizio di comunicazione e promozione delle opportunita per ragazzi e giovani,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,,,idm486
23,0000000000,00355870221,Comune di Trento,1.28,1.28,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2019-06-03,2019-06-03,idm498
24,0000000000,00355870221,Comune di Trento,1.72,1.72,PEDAGGI AUTOSTRADALI,23-AFFIDAMENTO DIRETTO,2019-01-01,2019-12-31,idm518
25,0000000000,00355870221,Comune di Trento,4.13,4.13,CANONE TELEPASS,23-AFFIDAMENTO DIRETTO,2019-01-01,2019-12-31,idm538
