n,cig,strutturaProponente:codiceFiscaleProp,strutturaProponente:denominazione,importoAggiudicazione,importoSommeLiquidate,oggetto,sceltaContraente,tempiCompletamento:dataInizio,tempiCompletamento:dataUltimazione,lottoID,ocid
1,Z911ADBE57,IT-CF-00355870221,Comune di Trento,0.0,0.0,ELABORAZIONE DEI MATERIALI PER LO STUDIO PRELIMINARE BANDO PRESIDENZA CONS. MINISTRI,23-AFFIDAMENTO DIRETTO,2016-08-04T09:30:00Z,,idm3,ocds-xxxxxx-Z911ADBE57
2,69518521C1,IT-CF-00355870221,Comune di Trento,0.0,0.0,AFFIDAMENTO GESTIONE OSTELLO DELLA GIOVENTU' DI TRENTO,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,2018-03-01T09:30:00Z,2019-02-28T09:30:00Z,idm16,ocds-xxxxxx-69518521C1
3,6031893B8F,IT-CF-00355870221,Comune di Trento,0.0,216150.0,RINNOVO CONCESSIONE OSTELLO DELLA GIOVENTU' DI TRENTO DAL 1 MARZO 2015 - 28 FEBBRAIO 2018,03-PROCEDURA NEGOZIATA PREVIA PUBBLICAZIONE,2015-03-01T09:30:00Z,2018-02-28T09:30:00Z,idm36,ocds-xxxxxx-6031893B8F
4,77879893D5,IT-CF-00355870221,Comune di Trento,0.0,0.0,SERVIZIO DI ORGANIZZAZIONE LOGISTICA DELLA MANIFESTAZIONE TRENTO SMART CITY WEEK 2019,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,,,idm53,ocds-xxxxxx-77879893D5
5,77457803DD,IT-CF-00355870221,Comune di Trento,0.0,0.0,LAVORI DI SISTEMA DI CONTROLLO IMPIANTI IRRIGAZIONI,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,,,idm83,ocds-xxxxxx-77457803DD
6,7767913C95,IT-CF-00355870221,Comune di Trento,0.0,0.0,MANUTENZIONE E RIPARAZIONE DELLA CARROZZERIA DEGLI AUTOVEICOLI DI PROPRIETA' COMUNALE ANNO 2019,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,2019-01-30T09:30:00Z,2019-01-30T09:30:00Z,idm113,ocds-xxxxxx-7767913C95
7,Z5F2724271,IT-CF-00355870221,Comune di Trento,0.0,0.0,Opere da falegname di tipo manutentivo negli edifici comunali anno 2019,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,,,idm136,ocds-xxxxxx-Z5F2724271
8,ZA427199C5,IT-CF-00355870221,Comune di Trento,0.0,0.0,Lavori da pittore di tipo manutentivo in edifici comunali tutelati ? anno 2019,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,,,idm157,ocds-xxxxxx-ZA427199C5
9,7958448F09,IT-CF-00355870221,Comune di Trento,0.0,0.0,ARREDO E SISTEMA DI OMBREGGIAMENTO NELLA CORTE INTERNA DELLE SCUOLE 'CRISPI' A TRENTO,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,,,idm187,ocds-xxxxxx-7958448F09
10,ZE728E84B8,IT-CF-00355870221,Comune di Trento,0.0,0.0,Lavori da lattoniere di tipo manutentivo in vari edifici comunali - 2? semestre 2019,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,,,idm208,ocds-xxxxxx-ZE728E84B8
11,Z21277022E,IT-CF-00355870221,Comune di Trento,0.0,0.0,Lavori di fornitura e posa di pellicole solari e di sicurezza presso vari edifici di proprieta del comune di Trento - anno 2019.,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,,,idm229,ocds-xxxxxx-Z21277022E
12,Z522AA88E3,IT-CF-00355870221,Comune di Trento,0.0,0.0,Sondaggio informale per la fornitura di articoli per premiazioni,23-AFFIDAMENTO DIRETTO,,,idm250,ocds-xxxxxx-Z522AA88E3
13,7921029FE6,IT-CF-00355870221,Comune di Trento,0.0,0.0,"FORNITURA E CONSEGNA DI MATERASSI IGNIFUGHI, INCLUSO LO SMALTIMENTO DEI MATERASSI USURATI, PER I NIDI D'INFANZIA DEL COMUNE DI TRENTO A GESTIONE DIRETTA E INDIRETTA",04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,,,idm277,ocds-xxxxxx-7921029FE6
