n,cig,strutturaProponente:codiceFiscaleProp,strutturaProponente:denominazione,importoAggiudicazione,importoSommeLiquidate,oggetto,sceltaContraente,tempiCompletamento:dataInizio,tempiCompletamento:dataUltimazione,lottoID
1,4854697EAF,00389240219,Comune di Bolzano - 1.1 - Ufficio Personale,540000.00,1635236.95,PROCEDURA APERTA PER L’AFFIDAMENTO DEL SERVIZIO DI ASSICURAZIONE DEL COMUNE DI BOLZANO RELATIVO ALLA RESPONSABILITÀ CIVILE VERSO TERZI E VERSO PRESTATORI DI LAVORO (RCT/O,01-PROCEDURA APERTA,,,idm3
2,5141813650,00389240219,Comune di Bolzano - 4.0.2. Servizio Scuole dell'Infanzia,19958975.00,31590101.12,LOTTO N.1 – PRINCIPALE (PRIMO FORNITORE):,01-PROCEDURA APERTA,2013-09-04,2020-08-31,idm21
3,5140772B3F,00389240219,Comune di Bolzano - 3.4 - Ufficio Economato e Provveditorato,120200.00,175900.96,Servizio traslochi e movimentazione beni per gli uffici e servizi del Comune di Bolzano,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,,,idm41
4,5058175A0C,00389240219,Comune di Bolzano - 6 - Ripartizione Lavori Pubblici,3428407.96,3454044.11,"Realizzazione del centro diurno per anziani, alloggi protetti per anziani e servizio socio-sanitario presso la zona di espansione Resia 1”.",01-PROCEDURA APERTA,2014-03-31,2016-09-30,idm74
5,55080499D1,00389240219,Comune di Bolzano - 3.4 - Ufficio Economato e Provveditorato,219006.18,249699.12,Rinnovo programmato appalto servizio di pulizia parti comuni immobili comunali ad uso abitativo,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,,,idm133
6,Z100E00016,00389240219,Comune di Bolzano - 4.3 - Ufficio servizi funerari e cimiteriali - Sanità,1347.22,1347.22,RICHIESTA PREVENTIVO,23-AFFIDAMENTO DIRETTO,2014-03-03,2014-04-08,idm151
7,540581185A,00389240219,Comune di Bolzano - 3.4 - Ufficio Economato e Provveditorato,128281.97,158884.69,procedura negoziata per la fornitura in noleggio di un sistema di stampa di produzione a colori per la stamperia comunale,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,2014-03-01,2019-02-28,idm171
8,5451408431,00389240219,Comune di Bolzano - 2.2 - Ufficio Informatica e Telecomunicazioni,62295.08,56860.92,Incarico per linee trasmissione dati convenzione SPC anno 2014,26-AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,,,idm200
9,49382168C0,00389240219,Comune di Bolzano - 3.4 - Ufficio Economato e Provveditorato,43979.53,44393.89,Fornitura in noleggio stampante MFP B/N e relativo servizio assistenza all-in per stamperia comunale,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,2013-06-19,2018-06-18,idm218
10,55625433B2,00389240219,Comune di Bolzano - 2.2 - Ufficio Informatica e Telecomunicazioni,61800.00,61680.00,Manutenzione apparecchiature hardware anno 2014,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,2014-01-01,2014-12-31,idm247
11,551731043E,00389240219,Comune di Bolzano - 6 - Ripartizione Lavori Pubblici,456793.52,409448.44,Manutenzione straordinaria ed adeguamento antincendio della scuola elementare Dante Alighieri – Opere di completamento,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,2014-06-16,2014-08-30,idm279
12,51246345C1,00389240219,Comune di Bolzano - 6 - Ripartizione Lavori Pubblici,166672.82,257407.21,"Gara per l’affidamento dei servizi: progettazione, coordinamento sicurezza in fase progettuale delle opere di ristrutturazione, riqualificazione ed ampliamento dello STADIO DRUSO",02-PROCEDURA RISTRETTA,2015-07-08,2018-12-04,idm344
