n,cig,strutturaProponente:codiceFiscaleProp,strutturaProponente:denominazione,importoAggiudicazione,importoSommeLiquidate,oggetto,sceltaContraente,tempiCompletamento:dataInizio,tempiCompletamento:dataUltimazione,lottoID
1,Z5C2614155,02030880153,COMUNE DI MONZA,79.00,0.00,,23-AFFIDAMENTO DIRETTO,2018-12-10,2018-12-10,idm3
2,Z22262F99E,02030880153,COMUNE DI MONZA,5820.00,0.00,,23-AFFIDAMENTO DIRETTO,2018-12-14,,idm17
3,Z672665575,02030880153,COMUNE DI MONZA,3329.00,0.00,,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,,,idm30
4,ZA52665580,02030880153,COMUNE DI MONZA,316.00,0.00,,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,,,idm42
5,ZBB266558C,02030880153,COMUNE DI MONZA,898.00,0.00,,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,,,idm54
6,ZA92665599,02030880153,COMUNE DI MONZA,421.00,0.00,,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,,,idm66
7,Z7A26655AD,02030880153,COMUNE DI MONZA,449.00,0.00,,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,,,idm78
8,ZE5266BE03,02030880153,COMUNE DI MONZA,11000.00,0.00,,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,,,idm90
9,ZF4266F11E,02030880153,COMUNE DI MONZA,900.00,0.00,,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,,,idm102
10,Z88249C727,02030880153,COMUNE DI MONZA,9000.00,0.00,,23-AFFIDAMENTO DIRETTO,2018-10-15,2018-12-31,idm114
11,ZD9263DE5E,02030880153,COMUNE DI MONZA,24680.60,0.00,,23-AFFIDAMENTO DIRETTO,,,idm128
12,Z3B267B84B,02030880153,COMUNE DI MONZA,0.00,0.00,,23-AFFIDAMENTO DIRETTO,,,idm140
13,Z3E267DF57,02030880153,COMUNE DI MONZA,14694.26,0.00,,23-AFFIDAMENTO DIRETTO,2018-12-24,,idm152
14,Z572678212,02030880153,COMUNE DI MONZA,736.22,0.00,,23-AFFIDAMENTO DIRETTO,2018-12-21,,idm165
15,ZA82653BEF,02030880153,COMUNE DI MONZA,5983.03,0.00,,23-AFFIDAMENTO DIRETTO,2019-01-01,2019-12-31,idm178
16,Z812681D85,02030880153,COMUNE DI MONZA,1000.00,0.00,,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,,,idm192
17,Z652683945,02030880153,COMUNE DI MONZA,36227.27,0.00,,23-AFFIDAMENTO DIRETTO,2018-12-27,,idm204
18,Z54267F109,02030880153,COMUNE DI MONZA,9050.00,0.00,,23-AFFIDAMENTO DIRETTO,2018-12-24,,idm217
19,Z002676B9A,02030880153,COMUNE DI MONZA,29317.00,0.00,,23-AFFIDAMENTO DIRETTO,2018-12-21,,idm230
20,Z6F2677CC6,02030880153,COMUNE DI MONZA,13994.26,0.00,,23-AFFIDAMENTO DIRETTO,2018-12-24,,idm243
21,Z43265D80F,02030880153,COMUNE DI MONZA,22816.07,0.00,,23-AFFIDAMENTO DIRETTO,2018-12-21,,idm256
22,Z66266BD1E,02030880153,COMUNE DI MONZA,18792.80,0.00,,23-AFFIDAMENTO DIRETTO,2018-12-28,2018-12-31,idm269
23,ZBA266BF2B,02030880153,COMUNE DI MONZA,18595.20,0.00,,23-AFFIDAMENTO DIRETTO,2019-01-01,2021-12-31,idm283
24,Z0D267916C,02030880153,COMUNE DI MONZA,504.35,0.00,,23-AFFIDAMENTO DIRETTO,2018-12-24,2018-12-31,idm297
25,ZFA2679E51,02030880153,COMUNE DI MONZA,1220.00,0.00,,23-AFFIDAMENTO DIRETTO,2018-12-24,2018-12-31,idm311
26,ZDC2669E2C,02030880153,COMUNE DI MONZA,38983.61,0.00,,23-AFFIDAMENTO DIRETTO,2019-01-07,2019-07-31,idm325
27,ZB626117E6,02030880153,COMUNE DI MONZA,7780.00,0.00,,23-AFFIDAMENTO DIRETTO,2019-01-01,2019-01-31,idm339
28,Z8E266C3FA,02030880153,COMUNE DI MONZA,0.00,0.00,,23-AFFIDAMENTO DIRETTO,,,idm353
29,ZD8266B0B4,02030880153,COMUNE DI MONZA,0.00,0.00,,23-AFFIDAMENTO DIRETTO,,,idm365
30,ZDA2668038,02030880153,COMUNE DI MONZA,6709.43,0.00,,23-AFFIDAMENTO DIRETTO,2019-02-15,2019-05-15,idm377
31,ZCC2668159,02030880153,COMUNE DI MONZA,6417.37,0.00,,23-AFFIDAMENTO DIRETTO,2019-02-15,2019-05-15,idm391
32,7730084B1B,02030880153,COMUNE DI MONZA,0.00,0.00,,01-PROCEDURA APERTA,,,idm405
33,7730146E44,02030880153,COMUNE DI MONZA,0.00,0.00,,01-PROCEDURA APERTA,,,idm417
34,7730185E73,02030880153,COMUNE DI MONZA,0.00,0.00,,01-PROCEDURA APERTA,,,idm429
35,Z4E25F8459,02030880153,COMUNE DI MONZA,7999.90,0.00,,23-AFFIDAMENTO DIRETTO,2018-12-15,,idm441
36,759220341D,02030880153,COMUNE DI MONZA,441334.25,0.00,,01-PROCEDURA APERTA,,,idm454
37,Z7A26459CB,02030880153,COMUNE DI MONZA,3654.44,0.00,,23-AFFIDAMENTO DIRETTO,2018-12-17,2018-12-31,idm466
38,Z4E2564193,02030880153,COMUNE DI MONZA,670.00,0.00,,23-AFFIDAMENTO DIRETTO,2018-12-17,2018-12-31,idm480
39,Z30261733E,02030880153,COMUNE DI MONZA,1500.00,0.00,,23-AFFIDAMENTO DIRETTO,2018-12-17,2018-12-31,idm494
40,ZD42617062,02030880153,COMUNE DI MONZA,650.00,0.00,,23-AFFIDAMENTO DIRETTO,2018-12-17,2018-12-31,idm508
41,Z9E26168B1,02030880153,COMUNE DI MONZA,600.00,0.00,,23-AFFIDAMENTO DIRETTO,2018-12-17,2018-12-31,idm522
42,Z172614549,02030880153,COMUNE DI MONZA,330.00,0.00,,23-AFFIDAMENTO DIRETTO,2018-12-17,2018-12-31,idm536
43,ZBD247CBD4,02030880153,COMUNE DI MONZA,800.00,0.00,,23-AFFIDAMENTO DIRETTO,2018-12-17,2018-12-31,idm550
44,Z6B24CA783,02030880153,COMUNE DI MONZA,800.00,0.00,,23-AFFIDAMENTO DIRETTO,2018-12-17,2018-12-31,idm564
45,Z3F252D5E5,02030880153,COMUNE DI MONZA,700.00,0.00,,23-AFFIDAMENTO DIRETTO,2018-12-17,2018-12-31,idm578
46,ZEC2616825,02030880153,COMUNE DI MONZA,500.00,0.00,,23-AFFIDAMENTO DIRETTO,2018-12-17,2018-12-31,idm592
47,ZF022C58D4,02030880153,COMUNE DI MONZA,350.00,0.00,,23-AFFIDAMENTO DIRETTO,2018-12-17,2018-12-31,idm606
48,7298822A72,02030880153,COMUNE DI MONZA,1015.00,0.00,,23-AFFIDAMENTO DIRETTO,2018-12-15,2018-12-31,idm620
49,Z91262C337,02030880153,COMUNE DI MONZA,5187.60,0.00,,23-AFFIDAMENTO DIRETTO,2019-01-01,2019-12-31,idm634
50,Z8D2633DAD,02030880153,COMUNE DI MONZA,5600.00,0.00,,26-AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,2019-01-01,2019-12-31,idm648
51,Z2B24F0FA5,02030880153,COMUNE DI MONZA,170.00,0.00,,23-AFFIDAMENTO DIRETTO,2018-09-19,2018-10-03,idm662
52,Z6124F1174,02030880153,COMUNE DI MONZA,259.47,0.00,,23-AFFIDAMENTO DIRETTO,2018-10-09,2018-10-10,idm676
53,ZCE24CABA5,02030880153,COMUNE DI MONZA,299.74,0.00,,23-AFFIDAMENTO DIRETTO,2018-09-11,2018-09-27,idm690
