n,cig,strutturaProponente:codiceFiscaleProp,strutturaProponente:denominazione,importoAggiudicazione,importoSommeLiquidate,oggetto,sceltaContraente,tempiCompletamento:dataInizio,tempiCompletamento:dataUltimazione,lottoID
1,8155569C6F,00104330493,Dirigente del Settore Infrastrutture e Spazi urbani,107265.01,0.00,INTERVENTI DI MANUTENZIONE STRAORDINARIA IN ALLOGGI DI EDILIZIA ABITATIVA SOCIALE IN GESTIONE COMUNALE (NON ERP)3° LOTTO,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,,,idm3
2,8155509AEC,00104330493,Dirigente del Settore Infrastrutture e Spazi urbani,107500.00,0.00,INTERVENTI DI MANUTENZIONE STRAORDINARIA IN ALLOGGI DI EDILIZIA ABITATIVA SOCIALE IN GESTIONE COMUNALE (NON ERP). 2° LOTTO.,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,,,idm30
3,81554867F2,00104330493,"Dirigente ad interim del Settore Impianti Tecnologici, Ing. Luca Barsotti",0.00,0.00,"AVVISO ESPLORATIVO PER L`ACQUISIZIONE DI MANIFESTAZIONI DI INTERESSE A PARTECIPARE A 
SUCCESSIVA PROCEDURA NEGOZIATA PER L`AFFIDAMENTO DEI LAVORI ADEGUAMENTO IMPIANTI ELETTRICI SCUOLE",03-PROCEDURA NEGOZIATA PREVIA PUBBLICAZIONE,,,idm72
4,815382908E,00104330493,Dirigente ad interim del Settore Impianti Tecnologici,0.00,0.00,LAVORI ADEGUAMENTO ANTINCEDIO SCUOLE COMUNALI,03-PROCEDURA NEGOZIATA PREVIA PUBBLICAZIONE,,,idm84
5,8153767D60,00104330493,"Dirigente ad Interim del Settore  Sviluppo, Valorizzazione e Manutenzioni",56748.83,0.00,MANUTENZIONE STRAORDINARIA TEATRO GOLDONI anno 2019,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,,,idm96
6,815332724A,00104330493,"Dirigente del Settore Sviluppo, Valorizzazione e Manutenzioni, Ing. Luca Barsotti
Determina n. 10025 del 30/12/2019",0.00,0.00,AVVISO ESPLORATIVO PER L`ACQUISIZIONE DI MANIFESTAZIONI DI INTERESSE A PARTECIPARE A PROCEDURA NEGOZIATA PER L`AFFIDAMENTO DEI LAVORI DI RESTAURO E RISANAMENTO FACCIATA OVEST STADIO COMUNALE A. PICCHI,03-PROCEDURA NEGOZIATA PREVIA PUBBLICAZIONE,,,idm126
7,8150876BA6,00104330493,"Dirigente del Settore Sviluppo, Valorizzazione e Manutenzioni",0.00,0.00,LAVORI DI RISANAMENTO CONSERVATIVO DELLE STRUTTURE IN CEMENTO ARMATO  STADIO COMUNALE A. PICCHI 2 LOTTO,03-PROCEDURA NEGOZIATA PREVIA PUBBLICAZIONE,,,idm138
8,8148212541,00104330493,DIRIGENTE DEL SETTORE INFRASTRUTTURE E SPAZI URBANI,83537.30,0.00,"SCALI DELLE CANTINE - PIAZZA GARIBALDI: AMPLIAMENTO E SISTEMAZIONE
MARCIAPIEDE.",23-AFFIDAMENTO DIRETTO,,,idm150
9,8147959479,00104330493,"Dirigente del Settore  Infrastrutture Stradali e Spazi Urbani, Ing. Luca Barsotti",0.00,0.00,"AVVISO ESPLORATIVO PER L`ACQUISIZIONE DI MANIFESTAZIONI DI INTERESSE A PARTECIPARE A 
SUCCESSIVA PROCEDURA NEGOZIATA PER L`AFFIDAMENTO DEI LAVORI DI MANUTENZIONE STRAORDINARIA PIANI STRADALI IV LOTTO",03-PROCEDURA NEGOZIATA PREVIA PUBBLICAZIONE,,,idm177
10,8142912FBB,00104330493,SETTORE INFRASTRUTTURE E SPAZI URBANI,70000.00,0.00,CC/SERVIZIO SEGNALETICA TEMPORANEA (16/12/2019 - 30/4/2020),23-AFFIDAMENTO DIRETTO,2019-12-16,2020-04-30,idm189
