n,cig,strutturaProponente:codiceFiscaleProp,strutturaProponente:denominazione,importoAggiudicazione,importoSommeLiquidate,oggetto,sceltaContraente,tempiCompletamento:dataInizio,tempiCompletamento:dataUltimazione,lottoID
1,0000000000,80016350821,Comune di Palermo,26888.33,0,"Affidamento in house a Sispi  S.P.A., società con Socio unico il Comune di Palermo, per la fornitura e posa in opera punti rete elettrico dati/fonia nei locali comunali della V Circoscrizione siti in largo Pozzillo n. 22",24-AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE,2019-01-02+01:00,2019-02-22+01:00,idm3
2,0000000000,80016350821,Comune di Palermo,1111.0,0,AFFIDAMENTO IN HOUSE ALLA AMG ENERGIA SPA PER LA SOSTITUZIONE DI N. 1 POMPA DI CALORE A SERVIZIO DELLA CENTRALE DI MONTE GRIFONE E DELLO SPOSTAMENTO DI NR. 1 POMPA DI CALORE,24-AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE,,,idm23
3,7657273593,80016350821,Comune di Palermo,61893.79,0,demolizione immobile abusivo sito in Piazza Tommaso Natale 92/93,26-AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,,,idm41
4,7665292F0D,80016350821,Comune di Palermo,98360.66,0,ACQUISTO ARREDO URBANO MEDIANTE RDO,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,2019-09-03+02:00,,idm71
5,76653227D1,80016350821,Comune di Palermo,81976.21,0,ACQUISTO DISSUASORI FISSI E MOBILI MEDIANTE RDO,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,2019-03-07+01:00,,idm108
6,7674769BB9,80016350821,Comune di Palermo,175000.0,0,INFISSI PER IL COIME MEDIANTE RDO,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,2019-09-03+02:00,,idm130
7,76748259F0,80016350821,Comune di Palermo,0,0,serramenti in legno mediante rdo,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,,,idm152
8,7713415F68,80016350821,Comune di Palermo,220000.0,0,UTENSILERIA MEDIANTE RDO,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,2019-09-03+02:00,,idm164
9,77134815E2,80016350821,Comune di Palermo,220000.0,0,materiali edili vari mediante rdo,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,2019-09-03+02:00,,idm195
10,77136300D9,80016350821,Comune di Palermo,81967.21,0,MATERIALE ELETTRICO MEDIANTE RDO,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,2019-09-03+02:00,,idm223
11,7713683C92,80016350821,Comune di Palermo,0,0,FORNITURA 1 AUTOCARRO 4 ASSI,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,,,idm248
12,7722158E5C,80016350821,Comune di Palermo,372650.14,0,LAVORI MANUTENZIONE STADIO DELLE PALME MEDIANTE RDO,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,,,idm260
13,77422101CF,80016350821,Comune di Palermo,48076.92,0,"Impegno spesa di Euro 50.000,00 IVA compresa per acquisto servizio sostitutivo di mensa mediante buoni pasto per il personale impegnato in prestazioni straordinarie per le Consultazioni Elettorali Europee del 26/05/2019 tramite convenzione CONSIP Buo",23-AFFIDAMENTO DIRETTO,,,idm293
14,7747935639,80016350821,Comune di Palermo,0,0,"Affidamento del Servizio di redazione del progetto definitivo, esecutivo, del coordinamento della sicurezza in fase di progettazione ex D.Lgs. 81/08, della direzione lavori e del coordinamento della sicurezza in fase di esecuzione ex D.Lgs. 81/08. Pa",01-PROCEDURA APERTA,,,idm311
15,774960043A,80016350821,Comune di Palermo,0,0,2°CONTRATTO ATTUATIVO DEMOLIZIONE IMMOBILI ABUSIVI,26-AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,,,idm481
16,7761233415,80016350821,Comune di Palermo,66378.63,0,Servizio di bonifica bellica profonda afferente i lavori di costruzione della Rete fognaria a sistema separato in via Messina Marine (dal fiume Oreto a Piazza Sperone) e relativo impianto di sollevamento,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,,,idm493
17,77715630AC,80016350821,Comune di Palermo,210000.0,0,"Servizio di recapito corrispondenza ordinaria e raccomandata a data e ora certa per un importo a disponibile di Euro 210.000,00 oltre IVA",04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,,,idm568
18,77759672F7,80016350821,Comune di Palermo,0,0,"AFFIDAMENTO SERVIZIO  DELLA PROGETTAZIONE DEFINITIVA, ESECUTIVA, DIREZIONE LAVORI E COORDINAMENTO DELLA SICUREZZA IN FASE DI PROGETTAZIONE, PER LINTERVENTO DI REALIZZAZIONE NUOVO IMPIANTO CREMATORIO NEL CIMITERO DI SANTA MARIA DEI ROTOLI, IN AMPLIAME",01-PROCEDURA APERTA,,,idm592
19,778812326A,80016350821,Comune di Palermo,131148.0,0,MANGIME PER CANI E GATTI MEDIANTE RDO,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,,,idm643
20,77922819B2,80016350821,Comune di Palermo,140000.0,0,ESERCITAZIONI TIRO A SEGNO ANNO 2019.,23-AFFIDAMENTO DIRETTO,,,idm661
21,7803978E5C,80016350821,Comune di Palermo,0,0,"Servizio di progettazione fattibilità tecnico economica, definitiva, esecutiva, D.L., coord.sicurezza in fase di progettazione/esecuzione, progettazione, direzione, esecuzione indagini strutturali, geognostiche e geofisiche, pratiche catastali per Co",01-PROCEDURA APERTA,,,idm679
22,7816218324,80016350821,Comune di Palermo,40200.0,0,"AFFIDAMENTO DEL SERVIZIO DI PRELEVAMENTO TRASPORTO ARREDI E PACCHI ELETTORALI ETC.,PER LE ELEZIONI DEI MEMBRI DEL PARLAMENTO EUROPEO SPETTANTI ALL'ITALIA DEL 26 MAGGIO 2019. (CIG. 7816218324)",04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,,,idm766
23,78183556A5,80016350821,Comune di Palermo,0,0,PON METRO - Luci sul mare - Riqualificazione Impianti di Pubblica Illuminazione - Valorizzazione del Porto Fenicio.,01-PROCEDURA APERTA,,,idm787
24,7825973538,80016350821,Comune di Palermo,140983.6,0,piccole attrezzature da cantiere,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,2019-10-08+02:00,,idm799
25,7825990340,80016350821,Comune di Palermo,90000.0,0,piante e alberature,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,2019-10-21+02:00,,idm824
26,7831129416,80016350821,Comune di Palermo,120491.8,0,SERRAMENTI IN LEGNO MEDIANTE RDO,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,2019-10-22+02:00,,idm849
27,7840375221,80016350821,Comune di Palermo,36631.65,0,"SERVIZIO DI RIMOZIONE DI RIMOZIONE, TRASPORTO E SMALTIMENTO DI RIFIUTI PERICOLOSI IN CEMENTO AMIANTO ABBANDONATI IN MODO INCONTROLLATO ED ABUSIVO INAREE, STRADE ED IMMOBILI DI PROPRIETA' COMUNALE",04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,,,idm871
28,7845586E5E,80016350821,Comune di Palermo,100078.06,0,Affidamento servizio di manutenzione biennale degli impianti elevatori installati nei plessi scolastici delle scuole di proprietà e/o pertinenza del Comune di Palermo.,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,,,idm913
29,7845770638,80016350821,Comune di Palermo,65448.07,0,"Servizio Biennale di MANUTENZIONE DEGLI ESTINTORI PRESENTI NELLE SCUOLE DI PERTINENZA COMUNALE COMPRESO GLI ASILI NIDO E LE SCUOLE DELLINFANZIA per un importo disponibile di  65.448,07 oltre IVA",04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,,,idm970
30,7851050B68,80016350821,Comune di Palermo,0,0,Servizio per la progettazione e la realizzazione di azioni complesse per promuovere l'inclusione sociale e aumentare la legalità in aree degradate coerenti con il tema Servizi per l'inclusione sociale (OT9 - FSE) Sostegno all'attivazione di nuovi ser,01-PROCEDURA APERTA,,,idm1000
31,785108042C,80016350821,Comune di Palermo,0,0,Servizio per la progettazione e la realizzazione di azioni complesse per promuovere l'inclusione sociale e aumentare la legalità in aree degradate coerenti con il tema Servizi per l'inclusione sociale (OT9 - FSE) Sostegno all'attivazione di nuovi ser,01-PROCEDURA APERTA,,,idm1123
32,7864414FB9,80016350821,Comune di Palermo,49180.33,0,LASTRE IN FIBROCEMENTO,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,2019-06-17+02:00,,idm1246
33,78648030C1,80016350821,Comune di Palermo,79713.11,0,TELONE,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,2019-10-10+02:00,,idm1271
34,7867368574,80016350821,Comune di Palermo,0,0,"Revisione della Progettazione Esecutiva, Direzione Lavori coordinamento in fase progettuale ed esecutiva  Lavori di costruzione dei ponti laterali sul fiume Oreto nella circonvallazione di Palermo comprese tutte le prestazioni professionali accessori",01-PROCEDURA APERTA,,,idm1290
35,788267090F,80016350821,Comune di Palermo,0,0,"Servizi di progettazione e realizzazione di azioni integrate coerenti con l'obiettivo specifico del Programma operativo PON Metro ""Città di Palermo"" 2014-2020 Asse 3 - Servizi per l'inclusione sociale (OT9 - FSE) ""Azioni integrate di contrasto alla p",01-PROCEDURA APERTA,,,idm1414
