n,cig,strutturaProponente:codiceFiscaleProp,strutturaProponente:denominazione,importoAggiudicazione,importoSommeLiquidate,oggetto,sceltaContraente,tempiCompletamento:dataInizio,tempiCompletamento:dataUltimazione,lottoID
1,ZB0265720E,00297110389,Comune di Ferrara,5483.00,5483.00,"Rinnovo della licenza d'uso dei prodotti software SAS per WINDOWS, in una copia per l'anno 2019",23-AFFIDAMENTO DIRETTO,2019-01-01,2019-12-31,idm3
2,ZFA25BC7B0,00297110389,Comune di Ferrara,126.00,126.00,Acquisto n. 3 pacchetti antivirus Kaspersky per la Biblioteca Bassani,23-AFFIDAMENTO DIRETTO,2019-01-04,2019-01-15,idm23
3,Z30269F3E2,00297110389,Comune di Ferrara,1600.00,1600.00,Rinnovo abbonamenti 2019 editi da Giuffrè Editore s.p.a. per Pianificazione Territoriale e Affari Legali,23-AFFIDAMENTO DIRETTO,2019-01-01,2020-03-21,idm43
4,Z88269ED35,00297110389,Comune di Ferrara,1433.31,1433.31,SERVIZI DI GRAFICA STAMPA E TIPOGRAFIA PER IL CENTRO PER LE FAMIGLIE,23-AFFIDAMENTO DIRETTO,2019-01-10,2019-12-31,idm63
5,Z0A26B9039,00297110389,Comune di Ferrara,94.26,107.54,Affidamento dell'esecuzione del servizio di lavaggio dei veicoli comunali in dotazione all'Istituzione Scolastica per l'anno 2019,23-AFFIDAMENTO DIRETTO,2019-01-18,2019-12-31,idm83
6,Z1F26A71B4,00297110389,Comune di Ferrara,1828.02,0.00,Spostamento del gruppo di misura in bassa tensione presso Palazzo Schifanoia. CIA 7-14,23-AFFIDAMENTO DIRETTO,2019-01-14,,idm103
7,Z9A26A512A,00297110389,Comune di Ferrara,2256.15,0.00,Incarico di CSP e DO CSE lavori manutenzione ordinaria su ponti e viadotti. CIA MO-I-5-18,23-AFFIDAMENTO DIRETTO,2019-01-14,,idm122
8,ZCD269E45A,00297110389,Comune di Ferrara,860.00,894.40,"Conferimento d'incarico al geom. Ciro Cavallini per l'aggiornamento al Catasto Fabbricati di Ferrara dell'ex Teatro Verdi. Impegno di spesa di Euro 860,00 (+ Cassa prev. al 4% + IVA al 22%) per un totale lordo complessivo di Euro 1.091,17",23-AFFIDAMENTO DIRETTO,2019-01-16,2019-04-15,idm141
9,760905352C,00297110389,Comune di Ferrara,230000.00,0.00,Lavori di manutenzione delle pavimentazioni stradali in materiale lapideo MO-I-04-2018,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,,,idm161
10,Z06269E59F,00297110389,Comune di Ferrara,1967.00,2220.25,SERVIZIO DI LAVAGGIO VEICOLI - ANNO 2019,23-AFFIDAMENTO DIRETTO,2019-01-01,2019-12-31,idm221
