n,cig,strutturaProponente:codiceFiscaleProp,strutturaProponente:denominazione,importoAggiudicazione,importoSommeLiquidate,oggetto,sceltaContraente,tempiCompletamento:dataInizio,tempiCompletamento:dataUltimazione,lottoID
1,0000000000,00162210348,Comune di Parma,0.00,0.00,Fornitura triennale di stampati tipografici vari. Approvazione elaborati per lacquisizione di manifestazioni dinteresse,23-AFFIDAMENTO DIRETTO,2019-02-26,2019-02-26,idm3
2,ZA027F0150,00162210348,Comune di Parma,2115.00,2115.00,"Consult. elezione dei membri del parlam. europeo spettanti all'Italia di dom. 26 maggio 19 - Affidam. e impegno di sp. per il servizio di stampa, taglio e imbustatura di tessere elettorali, relate ed etichette, bucatura e rilegatura liste ele dd 929.",23-AFFIDAMENTO DIRETTO,2019-04-11,2019-06-30,idm17
3,443551706c,00162210348,Comune di Parma,147540.98,49180.33,"Procedura negoziata per laffidamento del servizio di stampa tipografica per gli anni 2019, 2020 e 2021. Approvazione elaborati di gara e prenotazione della spesa. DD 790 e 1063.",08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,2019-04-01,2021-12-31,idm37
4,ZD7281F65A,00162210348,Comune di Parma,75.00,75.00,"Consult.l'elez. dei membri del parlam. europeo spettanti all'Italia di domen. 26 maggio 2019 - Affid. e impegno di spesa per il servizio di stampa e manifesti elettorali, e la fornitura di cancelleria, toner, carta, buste e varie DD 1116 del 29/4/19.",23-AFFIDAMENTO DIRETTO,2019-04-29,2019-06-30,idm57
5,ZD9281F5E9,00162210348,Comune di Parma,662.00,662.00,"Consult.l'elez. dei membri del parlam. europeo spettanti all'Italia di domen. 26 maggio 2019 - Affid. e impegno di spesa per il servizio di stampa e manifesti elettorali, e la fornitura di cancelleria, toner, carta, buste e varie DD 1116 del 29/4/19.",23-AFFIDAMENTO DIRETTO,2019-04-29,2019-06-30,idm77
6,707677644C,00162210348,Comune di Parma,459.92,459.92,"Consult.l'elez. dei membri del parlam. europeo spettanti all'Italia di domen. 26 maggio 2019 - Affid. e impegno di spesa per il servizio di stampa e manifesti elettorali, e la fornitura di cancelleria, toner, carta, buste e varie DD 1116 del 29/4/19.",26-AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,2019-04-29,2019-06-30,idm97
7,7062636F96,00162210348,Comune di Parma,286.20,286.20,"Consult.l'elez. dei membri del parlam. europeo spettanti all'Italia di domen. 26 maggio 2019 - Affid. e impegno di spesa per il servizio di stampa e manifesti elettorali, e la fornitura di cancelleria, toner, carta, buste e varie DD 1116 del 29/4/19.",26-AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,2019-04-29,2019-06-30,idm117
8,Z78281F542,00162210348,Comune di Parma,2202.20,2202.20,"Consult.l'elez. dei membri del parlam. europeo spettanti all'Italia di domen. 26 maggio 2019 - Affid. e impegno di spesa per il servizio di stampa e manifesti elettorali, e la fornitura di cancelleria, toner, carta, buste e varie DD 1116 del 29/4/19.",23-AFFIDAMENTO DIRETTO,2019-04-29,2019-06-30,idm137
9,ZE32863406,00162210348,Comune di Parma,738.00,738.00,Stampa prove di corso-concorso pubblico  in data 15/05/2019. Affidamento e impegno,23-AFFIDAMENTO DIRETTO,2019-05-14,2019-06-30,idm157
10,Z4F2860C22,00162210348,Comune di Parma,3750.00,3750.00,Fornitura Servizi aggiuntivi stampati per consultazione per l'elezione dei membri del Parlamento Europeo spettanti all'Italia di domenica 26 maggio 2019 - Integrazione impegno di spesa,23-AFFIDAMENTO DIRETTO,2019-05-15,2019-06-30,idm171
11,8055156D01,00162210348,Comune di Parma,77040.00,2193.50,"Ades. Conv. Consip Appar. Multif. 30 Lotti: 2, 4 e 5 per il noleggio di 38 fotocopiatori multifunzione monocromatici e a colori per uffici e servizi comunali. Impegno di spesa per gli anni 2019, 2020, 2021, 2022 e 2023. CUI ... DD 2647 del 14.10.19.",26-AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,2019-01-01,2023-10-31,idm191
12,ZDE2A03605,00162210348,Comune di Parma,10287.36,0,"Ades. Conv. Consip Appar. Multif. 30 Lotti: 2, 4 e 5 per il noleggio di 38 fotocopiatori multifunzione monocromatici e a colori per uffici e servizi comunali. Impegno di spesa per gli anni 2019, 2020, 2021, 2022 e 2023. CUI ... DD 2647 del 14.10.19.",26-AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,2019-11-01,2023-10-31,idm211
