n,cig,strutturaProponente:codiceFiscaleProp,strutturaProponente:denominazione,importoAggiudicazione,importoSommeLiquidate,oggetto,sceltaContraente,tempiCompletamento:dataInizio,tempiCompletamento:dataUltimazione,lottoID
1,Z1A28A23B2,00080270838,DIPARTIMENTO POLITICHE CULTURALI ED EDUCATIVE SVILUPPO ECONOMICO,1955.22,1955.22,SCUOLA ANTICHI MESTIERI - ACQUISTO CANCELLERIA,23-AFFIDAMENTO DIRETTO,2019-06-06,,idm3
2,80473134C4,00080270838,DIPARTIMENTO PROTEZIONE CIVILE E DIFESA DEL SUOLO,415979.20,0.00,Interventi preventivi di mitigazione dei rischi e di gestione delle prime emergenze di protezione civile su tutto il territorio comunale,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,,,idm28
3,Z572422694,00080270838,Dipartimento Politiche del Territorio,14819.40,0.00,"fornitura e posa in opera di targhe topo-nomastiche e pali e rimozioni di quelle gi&agrave; esistenti, tramite il sistema delle conven-zioni quadro stipulate e/o il mercato elet-tronico di CONSIP",04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,,,idm88
4,7692761B31,00080270838,DIPARTIMENTO POLIZIA MUNICIPALE,1500.00,0.00,CORSO DI FORMAZIONE SULL'UTILIZZO DEL SISTEMA SCOUT PER N°15 UNITA' DI PERSONALE DEL CORPO DI POLIZIA MUNICIPALE,23-AFFIDAMENTO DIRETTO,,,idm118
5,Z8B2A793A4,00080270838,SERVIZI ALLA PERSONA E ALLE IMPRESE,1200.00,1200.00,Affidamento in occasione della Festa delle Forze Armate e dell'Unità d'Italia di servizio bandistico all'Associazione Culturale Turistica Sociale Musicale ?Banda Santa Cecilia?,23-AFFIDAMENTO DIRETTO,2019-11-04,2019-11-04,idm136
6,7744707E62,00080270838,DIPARTIMENTO LAVORI PUBBLICI,102140.75,150206.36,ACCORDO QUADRO PER I LAVORI DI PRONTO INTERVENTO E MESSA IN SICUREZZA DELLE STRADE E RELATIVE PERTINENZE DEL COMUNE DI MESSINA,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,2019-03-27,2019-08-02,idm156
7,8112464911,00080270838,DIPARTIMENTO LAVORI PUBBLICI,41693.28,0.00,Realizzazione di un impianto di Pubblica illuminazione lungo la SP 34 in localit&agrave; Briga,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,,,idm209
8,ZC92B3AA0B,00080270838,SERVIZI ALLA PERSONA E ALLE IMPRESE,2060.00,2060.00,OGGETTO: BIBLIOTECA COMUNALE - Affidamento diretto acquisto atttrezzature tramite procedura MEPA,23-AFFIDAMENTO DIRETTO,2019-12-23,,idm254
9,8103827199,00080270838,DIPARTIMENTO LAVORI PUBBLICI,83525.67,0.00,"Accordo Quadro per interventi di manutenzione della pavimentazione e della segnaletica stradale per garantire la sicurezza della circolazione veicolare e pedonale, zona centro-sud.",04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,,,idm270
10,8112481719,00080270838,DIPARTIMENTO LAVORI PUBBLICI,42451.72,0.00,Realizzazione di un impianto di Pubblica illuminazione  lungo la SP 35 in localit&agrave; Pezzolo,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,,,idm312
11,ZE7275D694,00080270838,DIPARTIMENTO POLITICHE CULTURALI ED EDUCATIVE SVILUPPO ECONOMICO,500.00,500.00,MANIFESTAZIONE CARNEVALESCA 2019,23-AFFIDAMENTO DIRETTO,2019-03-05,2019-03-05,idm357
12,7754017141,00080270838,DIPARTIMENTO MANUTENZIONI IMMOBILI COMUNALI,74091.76,0.00,Interventi urgenti per la manutenzione straordinaria sui lucernai e nei cantinati del palazzo municipale denominato Zanca sede del comune di Messina,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,,,idm377
13,ZB226B14DD,00080270838,DIPARTIMENTO SERVIZI AL CITTADINO,439.20,0.00,Acquisto materiale per ufficio statistica,23-AFFIDAMENTO DIRETTO,2019-01-23,,idm425
14,Z7F2B3D9C0,00080270838,SERVIZI ALLA PERSONA E ALLE IMPRESE,1736.80,1736.80,BIBLIOTECA COMUNALE. Acquisto pubblicazioni - Impegno e determina a contrarre alla trattativa diretta con unico fornitore sul ME.PA,23-AFFIDAMENTO DIRETTO,2019-12-19,,idm444
