n,cig,strutturaProponente:codiceFiscaleProp,strutturaProponente:denominazione,importoAggiudicazione,importoSommeLiquidate,oggetto,sceltaContraente,tempiCompletamento:dataInizio,tempiCompletamento:dataUltimazione,lottoID
1,ZE2282B1A5,00163570542,AREA GOVERNO E SVILUPPO DEL TERRITORIO - MOBILITA' E INFRASTRUTTURE,5899.13,5899.13,AFFIDAMENTO ED IMPEGNO DI SPESA PER LA FORNITURA DI CONGLOMERATO BITUMINOSO PER LA REALIZZAZIONE DI UN TRATTO DI MARCIAPIEDE SULLA S.P. N. 315/2 IN LOCALITA' FONTIGNANO. CUP. C91B18000440004.,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE DEL BANDO,2019-06-18,2019-08-29,idm3
2,ZE826AA4F0,00163570542,AREA RISORSE AMBIENTALI - SMART CITY E INNOVAZIONE - MANUTENZIONI E DECORO URBANO,1642.18,736.58,"AFFIDAMENTO ED IMPEGNO DI SPESA DI 1.070,08 ALLA DITTA RP AUTORICAMBI DI PIERVITTORI ROSALBA & C. S.N.C. PER IL SERVIZIO DI REVISIONI PERIODICHE DI MEZZI COMUNALI IN SCADENZA NEI MESI DI GENNAIO E FEBBRAIO 2019.",04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE DEL BANDO,2019-01-21,2019-02-28,idm23
3,Z632737472,00163570542,AREA GOVERNO E SVILUPPO DEL TERRITORIO - MOBILITA' E INFRASTRUTTURE,5440.85,5440.85,AFFIDAMENTO FORNITURE ED IMPEGNI DI SPESA PER LA REALIZZAZIONE DI UN TRATTO DI MARCIAPIEDE SULLA S.P. N. 315/2 IN LOCALITA' FONTIGNANO. CUP. C91B18000440004.,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE DEL BANDO,2019-04-16,2019-09-05,idm49
4,Z4327F475A,00163570542,AREA GOVERNO E SVILUPPO DEL TERRITORIO - MOBILITA' E INFRASTRUTTURE,339.96,339.96,PRENOTAZIONE IMPEGNI DI SPESA VARI RELATIVI AL MESE DI FEBBRAIO -2019.,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE DEL BANDO,2019-04-09,2019-04-24,idm69
5,Z77277B250,00163570542,AREA RISORSE AMBIENTALI - SMART CITYE INNOVAZIONE - MANUTENZIONI E DECORO URBANO,339.96,339.96,PRENOTAZIONE IMPEGNI DI SPESA VARI RELATIVI AL MESE DI GENNAIO -2019.,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE DEL BANDO,2019-03-12,2019-03-18,idm89
6,Z7B28BEE3A,00163570542,AREA GOVERNO E SVILUPPO DEL TERRITORIO - MOBILITA' E INFRASTRUTTURE,339.96,339.96,PRENOTAZIONE IMPEGNI DI SPESA PER ACQUISTI VARI E MANUTENZIONE AUTOMEZZI.,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE DEL BANDO,2019-06-17,2019-06-26,idm109
7,Z9D291C1DC,00163570542,AREA GOVERNO E SVILUPPO DEL TERRITORIO - MOBILITA' E INFRASTRUTTURE,1883.07,1883.07,PRENOTAZIONE IMPEGNI DI SPESA PER ACQUISTI VARI E MANUTENZIONE AUTOMEZZI.,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE DEL BANDO,2019-07-08,2019-07-08,idm129
8,Z28290F9AF,00163570542,AREA GOVERNO E SVILUPPO DEL TERRITORIO - MOBILITA' E INFRASTRUTTURE,169.98,113.32,PRENOTAZIONE IMPEGNI DI SPESA PER ACQUISTI VARI E MANUTENZIONE AUTOMEZZI.,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE DEL BANDO,2019-07-08,2019-07-11,idm149
9,Z0828C2292,00163570542,AREA SERVIZI FINANZIARI - ACQUISTI E PATRIMONIO,345.32,172.66,FINANZIAMENTO DELLE SPESE A CALCOLO E DELLE MINUTE SPESE DELL'U.O. ACQUISTI E PATRIMONIO RELATIVE ALLA MANUTENZIONE DI BENI MOBILI PER L'ESERCIZIO FINANZIARIO 2019- PRENOTAZIONE IMPEGNI.,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE DEL BANDO,2019-06-10,2019-06-17,idm169
10,Z1626D5B60,00163570542,AREA RISORSE AMBIENTALI SMART CITY E INNOVAZIONE - MANUTENZIONI E DECORO URBANO,900.00,900.00,PRENOTAZIONE IMPEGNI DI SPESA PER LA MANUTENZIONE DEI BENI IM-MOBILI DI COMPETENZA DEGLI UFFICI DECENTRATI RELATIVI AL MESE DI GENNAIO 2019.,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE DEL BANDO,2019-01-02,2019-01-23,idm189
