n,cig,strutturaProponente:codiceFiscaleProp,strutturaProponente:denominazione,importoAggiudicazione,importoSommeLiquidate,oggetto,sceltaContraente,tempiCompletamento:dataInizio,tempiCompletamento:dataUltimazione,lottoID
1,0000000000,00304260409,Comune di Rimini,295081.97,0,"LP-2017/53
Attuazione Ordinanze sindacali di modifica della circolazione, segnaletica e spese varie - Attuazione Accordo Quadro - Prestazioni essenziali con pagamento a canone - Affidamento in house providing ad Anthea Srl - Impegno di spesa di Euro",24-AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE,2017-01-01+01:00,2019-12-31+01:00,idm3
2,0000000000,00304260409,Comune di Rimini,0,0,AVVISO PUBBLICO DI RICERCA SPONSORIZZAZIONI A SOSTEGNO DEGLI EVENTI E PROGETTI TURISTICI DEL COMUNE DI RIMINI PER IL BIENNIO 2018/2019,01-PROCEDURA APERTA,,,idm23
3,0000000000,00304260409,Comune di Rimini,18868.8,0,"CONT. LP-2018/062
Servizio Integrato di gestione e manutenzione del Patrimonio Stradale in forma di Global Service affidato alla Società Anthea srl.
Progetto di promozione e marketing del territorio per la valorizzazione e la riqualificazione della",24-AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE,2018-02-20+01:00,,idm35
4,0000000000,00304260409,Comune di Rimini,56249.04,0,"OPERA 2017/20-4 - Interventi di riqualificazione delle aree urbanizzate. Anno 2017. 2^ LOTTO FUNZIONALE.
CUP C92F17003980004",24-AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE,2017-12-20+01:00,,idm54
5,0000000000,00304260409,Comune di Rimini,13932.0,0,"MANUTENZIONE ORDINARIA DEL MANTO SINTETICO STADIO ROMEO NERI
LP-2018/64",24-AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE,2018-01-31+01:00,,idm73
6,0000000000,00304260409,Comune di Rimini,24757.57,0,"INTERVENTI PER IL MIGLIORAMENTO DELLA SICUREZZA IN EDIFICI DEL COMUNE DI RIMINI : ASILO NIDO ISOLA BLU E PALAZZO EX AQUILA D'ORO
LP-2018/65",24-AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE,2018-02-13+01:00,,idm92
7,0000000000,00304260409,Comune di Rimini,13952.65,0,"SERVIZI DI MANUTENZIONE ORDINARIA DEGLI IMPIANTI TECNOLOGICI DELLA PISCINA COMUNALE.
LP- 2018/66",24-AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE,2018-02-16+01:00,,idm111
8,0000000000,00304260409,Comune di Rimini,16065573.77,2295081.93,Variazione al bilancio 2018/2020 ai sensi dell'art. 175 comma 5 quater lettera a) del D.Lgs. 267/2000. Servizio di gestione e manutenzione del verde pubblico comunale affidato ad Anthea srl. Impegni di spesa per l'anno 2018 e fino al 2024.,24-AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE,2018-02-08+01:00,2024-12-31+01:00,idm130
9,0000000000,00304260409,Comune di Rimini,22764.0,0,Variazione al bilancio 2018/2020 ai sensi dell'art. 175 comma 5 quater lettera a) del D.Lgs. 267/2000. Servizio affidato alla Società in house Anthea srl. Manutenzine ordinaria per rifacimento manto di copertura ed efficientamento energetico degli sp,24-AFFIDAMENTO DIRETTO A SOCIETA' IN HOUSE,2018-03-26+02:00,,idm150
10,0000000000,00304260409,Comune di Rimini,0,0,AVVISO PUBBLICO PER LA RICERCA DI SPONSOR A SOSTEGNO DEI PORGETTI SPORTIVI DIRETTAMENTE ORGANIZZATI DALL'ASSESSORATO ALLO SPORT DEL COMUNE DI RIMINI NEL 2018,01-PROCEDURA APERTA,,,idm169
