n,cig,strutturaProponente:codiceFiscaleProp,strutturaProponente:denominazione,importoAggiudicazione,importoSommeLiquidate,oggetto,sceltaContraente,tempiCompletamento:dataInizio,tempiCompletamento:dataUltimazione,lottoID
1,Z1D1EAACBA,00147990923,Comune di Cagliari,666.24,0.00,LIQUIDAZIONE FATTURA E DISIMPEGNO SOMMA ECCEDENTE PER  PRESTAZIONE DI SERVIZI: LEZIONI DI EQUITAZIONE ALL'ALTER NOS E AI MAZZIERI AL SEGUITO DELLO STESSO IN OCCASIONE DELLA 361ª FESTA DI SANT’EFISIO ANNO 2017 -  SOCIETA’ IPPICA DI CAGLIARI.,23-AFFIDAMENTO DIRETTO,2017-04-01,2017-04-30,idm3
2,ZEC14484F5,00147990923,Comune di Cagliari,900.00,0.00,RIPRODUZIONE FOTOGRAFICA SU BANNER E POSIZIONAMENTO DEGLI STESSI NELLE NICCHIE DELLA FACCIATA PALAZZO CIVICO DI VIA ROMA IN OCCASIONE DELLA SAGRA DI SANT'EFISIO 2015,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,2015-04-30,2015-04-30,idm23
3,ZF11AEACFA,00147990923,Comune di Cagliari,125.40,125.40,Pubblicazione necrologio su quotidiano locale (Il Sindaco e la Giunta),23-AFFIDAMENTO DIRETTO,2016-07-28,2016-07-28,idm46
4,ZD0141B3A1,00147990923,Comune di Cagliari,4131.14,0.00,"SERVIZIO DI PENSIONAMENTO, FERRATURA, PALAFRENIERI ED EVENTUALE VETERINARIA DEI CAVALLI UTILIZZATI IN OCCASIONE DELLA 359ª SAGRA DI SANT'EFISIO 2015.",23-AFFIDAMENTO DIRETTO,,,idm66
5,Z61110F2BD,00147990923,Comune di Cagliari,210.00,0.00,SERVIZI DA RENDERE IN OCCASIONE DELLA VISITA DELLA COMMISSIONE EUROPEA PER LA CULTURA PER LA CANDIDATURA DELLA CITTA' DI CAGLIARI A CAPITALE DELLA CULTURA - DITTA GE.TU.R. SAS DI EFISIO MAMELI,23-AFFIDAMENTO DIRETTO,2014-10-03,2014-10-03,idm84
6,Z7D18A331A,00147990923,Comune di Cagliari,125.40,125.40,Pubblicazione necrologio su quotidiano locale (Presidente e Consiglio Comunale),23-AFFIDAMENTO DIRETTO,2016-07-28,2016-07-28,idm104
7,Z8E1951A2D,00147990923,Comune di Cagliari,3215.64,3215.64,"Pensionamento, ferratura, trasporto e servizio palafrenieri di n° 4 cavalli utilizzati per lezioni di equitazioni e giornate Sagra di Sant'Efisio anno 2016",23-AFFIDAMENTO DIRETTO,2016-04-12,2016-05-05,idm124
8,ZB91A25B67,00147990923,Comune di Cagliari,534.98,534.98,Lezioni di equitazione all'Alter Nos e mazzieri al seguito in occasione della Sagra di Sant'Efisio 2016,23-AFFIDAMENTO DIRETTO,,,idm144
9,Z4216D2BEA,00147990923,Comune di Cagliari,2890.80,2790.72,SERVIZIO DI CONSULTAZIONE ON LINE SISTEMA LEGGI D'ITALIA,23-AFFIDAMENTO DIRETTO,2015-11-01,2016-10-31,idm162
10,ZD413BBD23,00147990923,Comune di Cagliari,90.00,0.00,IDEAZIONE E REALIZZAZIONE DI UN PICCOLO MONILE DELLA CULTURA E TRADIZIONE SARDA DA OMAGGIARE AL PRESIDENTE DELLA CAMERA DEI DEPUTATI ON.LE LAURA BOLDRINI N VISITA DAL 20 AL 23 MARZO 2015 IN SARDEGNA.,23-AFFIDAMENTO DIRETTO,2015-05-20,2015-05-20,idm182
11,Z841EAB3E6,00147990923,Comune di Cagliari,3355.00,3355.00,"LIQUIDAZIONE E DISIMPEGNO SOMME ECCEDENTI A SEGUITO DI  FATTURA PER SERVIZI DI PENSIONAMENTO CAVALLI, PALAFRENIERE, FERRATURA  E TRASPORTO CAVALLI PRESI A NOLEGGIO IN OCCASIONE DELLA SAGRA SANT’EFISIO 2017 -  SOCIETA’ IPPICA DI CAGLIARI.",04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,2017-04-01,2017-05-06,idm202
12,Z53177B0F1,00147990923,Comune di Cagliari,516.00,434.43,riparazione e accordatura pianoforte ubicato stazione di Piazza Repubblica - Cagliari,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,,,idm222
13,Z8313FEA91,00147990923,Comune di Cagliari,2244.00,0.00,SERVIZIO CATERING PRESSO SALE DI RAPPRESENTANZA PALAZZO CIVICO DI VIA ROMA IN OCCASIONE DELLA 359ª FESTA DI S. EFISIO,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,,,idm243
14,Z4322B0CE2,00147990923,Comune di Cagliari,2865.50,0.00,Aggiudicazione e impegno spesa affidamento servizio di rinfresco offerto dall'Amministrazione in occasione della 362a Festa di Sant'Efisio. Ditta Andycoc Gestioni S.r.L.,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,2018-04-30,2018-05-01,idm267
15,Z3D1C6CF6B,00147990923,Comune di Cagliari,2990.00,0.00,Affidamento Servizio Di Realizzazione Pergamene Istituzionali,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,2016-12-20,2016-12-31,idm299
16,Z87187BB6F,00147990923,Comune di Cagliari,750.00,750.00,AFFIDAMENTO RIPRESE VIDEO/FOTOGRAFICHE DA RENDERE IN OCCASIONE DELLA CANDIDATURA DELLA CITTA' DI CAGLIARI QUALE SEDE PER LE REGATE VELICHE DELLE OLIMPIADI ROMA 2024,23-AFFIDAMENTO DIRETTO,,,idm331
17,ZED1BE445E,00147990923,Comune di Cagliari,4672.00,5699.84,"Prenotazione impegno spesa progettazione,traduzione in Lis tutorial illustrativi già realizzati dall'Amm.ne,compreso affiancamento dipendenti ufficio Gabinetto",04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,2016-11-21,2016-12-31,idm349
18,ZD31BBC7E6,00147990923,Comune di Cagliari,8670.00,0.00,Consultazione sistema Leggi d'Italia (abbonamento triennale),23-AFFIDAMENTO DIRETTO,2016-11-01,2019-10-30,idm378
19,ZCF0DD38C3,00147990923,Comune di Cagliari,180.00,0.00,SERVIZIO PUBBLICAZIONE NECROLOGI SU QUOTIDIANO LOCALE,23-AFFIDAMENTO DIRETTO,2015-01-12,2015-01-12,idm398
20,Z1B13CB74C,00147990923,Comune di Cagliari,163.93,0.00,LEZIONI DI EQUITAZIONE (N° 15) PER L'ALTER NOS IN OCCASIONE DELLA 359ª SAGRA DI SANT'EFISIO 2015.,23-AFFIDAMENTO DIRETTO,,,idm418
