n,cig,strutturaProponente:codiceFiscaleProp,strutturaProponente:denominazione,importoAggiudicazione,importoSommeLiquidate,oggetto,sceltaContraente,tempiCompletamento:dataInizio,tempiCompletamento:dataUltimazione,lottoID
2,Z1B21EE7D2,80025760820,Comune di San Giuseppe Jato,350.00,350.00,Impegno spesa concessione contributo alla Parrocchia SS. Riccobono e San Nicolò di Bari,23-AFFIDAMENTO DIRETTO,2018-02-10,2018-02-13,idm23
3,Z2D24096FE,80025760820,Comune di San Giuseppe Jato,2459.00,2459.00,Affidamento ed impegno spesagioco pirotecnico del 15 Agosto 2018,23-AFFIDAMENTO DIRETTO,2018-08-15,2018-08-15,idm43
4,Z9B25D730F,80025760820,Comune di San Giuseppe Jato,2459.00,2459.00,Collocazione luminarie natalizie,23-AFFIDAMENTO DIRETTO,2018-12-01,2020-01-07,idm63
5,Z9225D7393,80025760820,Comune di San Giuseppe Jato,4000.00,4000.00,Contributo per progetto natalizio,23-AFFIDAMENTO DIRETTO,2018-12-01,2019-01-06,idm83
6,Z6A26767D1,80025760820,Comune di San Giuseppe Jato,700.00,700.00,Contributo per manifestazione Carnevale 2019,23-AFFIDAMENTO DIRETTO,2019-03-02,2019-03-05,idm103
7,ZF4281D9E4,80025760820,Comune di San Giuseppe Jato,1800.00,14.00,"Impegno spesa per istallazione contatore per fornitura straordinaria di Energia Elettrica, Piazza Falcone e Borsellino e Via Porta Palermo",23-AFFIDAMENTO DIRETTO,2019-07-01,2019-10-31,idm123
8,ZE2287E90B,80025760820,Comune di San Giuseppe Jato,2000.00,2000.00,Contributo Associazione Culturale Decor Carmeli dello Jato,23-AFFIDAMENTO DIRETTO,2019-08-30,2019-09-01,idm143
9,Z8E28C6EE3,80025760820,Comune di San Giuseppe Jato,2818.00,0.00,Prestazioni bandistiche in onore di Maria SS. della Provvidenza,23-AFFIDAMENTO DIRETTO,2019-07-21,2019-08-15,idm163
10,Z2828D1682,80025760820,Comune di San Giuseppe Jato,300.00,300.00,Contributo per banda musicale Parrocchiale,23-AFFIDAMENTO DIRETTO,2019-06-23,2019-06-23,idm183
11,Z7D28D984A,80025760820,Comune di San Giuseppe Jato,4300.00,4300.00,Affidamento ed impegno spesa fornitura e collocazione luminarie “ Festa Maria SS della Provvidenza” 10-16 Agosto 2019,23-AFFIDAMENTO DIRETTO,2019-08-10,2019-08-16,idm203
12,ZB228DA984,80025760820,Comune di San Giuseppe Jato,3278.00,3278.00,Affidamento ed impegno spesa per realizzazione spettacolo pirotecnico del 15 Agosto 2019,23-AFFIDAMENTO DIRETTO,2019-08-15,2019-08-15,idm223
13,Z1C28F0F28,80025760820,Comune di San Giuseppe Jato,2900.00,2900.00,Spettacolo di cabaret,23-AFFIDAMENTO DIRETTO,2019-08-16,2019-08-16,idm243
14,Z7928F593F,80025760820,Comune di San Giuseppe Jato,350.00,350.00,Piano sanitario e servizio ambulanze manifestazione e chiusura anno scolastico,23-AFFIDAMENTO DIRETTO,2019-06-28,2019-06-28,idm263
15,ZDD295C6F4,80025760820,Comune di San Giuseppe Jato,1100.00,1100.00,Redazione piano sanitario e servizio ambulanza,23-AFFIDAMENTO DIRETTO,2019-08-12,2019-08-16,idm283
