n,cig,strutturaProponente:codiceFiscaleProp,strutturaProponente:denominazione,importoAggiudicazione,importoSommeLiquidate,oggetto,sceltaContraente,tempiCompletamento:dataInizio,tempiCompletamento:dataUltimazione,lottoID
1,815641890E,00137020871,EA - Direzione Politiche per l’Ambiente e il Verde e l’Energia - Gestione Autoparco,0.00,0.00,RdO n.2484423.  Fornitura e posa in opera 2000 alberi.,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,,,idm3
2,ZA72B69DA5,00137020871,CT - Direzione Cultura,14664.00,0.00,RdO n. 2484624. Servizio di realizzazione sito web per il Museo Vincenzo Bellini.,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,,,idm33
3,ZD52B64122,00137020871,AP - Direzione Sviluppo Attività Produttive - Ufficio Tutela del Consumatore,0.00,0.00,Fiera di Sant'Agata 2020 - Affidamento in concessione dei servizi fieristici,01-PROCEDURA APERTA,,,idm108
4,Z1A2B6E865,00137020871,CT - Direzione Cultura,6100.00,0.00,MATERIALE GRAFICO PROMOZIONALE PER LA CHIESA DI SAN NICOLO' L'ARENA,23-AFFIDAMENTO DIRETTO,,,idm120
5,Z312B47D0E,00137020871,CT - Direzione Cultura,3703.60,0.00,ACQUISTO DIRETTO DI N. 1 VIDEOPROIETTORE PROFESSIONALE PER LA SALA CONFERENZE DI PALAZZO DELLA CULTURA,23-AFFIDAMENTO DIRETTO,,,idm138
6,ZB22B5C110,00137020871,CT - Direzione Cultura,250.00,0.00,Piano promo pubblicitario Concerto di Capodanno 30 e 31 dicembre 2019/2020,23-AFFIDAMENTO DIRETTO,2019-12-23,2019-12-30,idm156
7,ZFA2B5CBA5,00137020871,CT - Direzione Cultura,300.00,0.00,Piano promo pubblicitario Concerto di Capodanno 30 e 31 dicembre 2019/2020,23-AFFIDAMENTO DIRETTO,2019-12-23,2019-12-30,idm290
8,ZC32B5CC82,00137020871,CT - Direzione Cultura,650.00,0.00,Piano promo pubblicitario Concerto di Capodanno 30 e 31 dicembre 2019/2020,23-AFFIDAMENTO DIRETTO,2019-12-23,2019-12-30,idm424
9,Z6F2B5CD66,00137020871,CT - Direzione Cultura,300.00,0.00,Piano promo pubblicitario Concerto di Capodanno 30 e 31 dicembre 2019/2020,23-AFFIDAMENTO DIRETTO,2019-12-23,2019-12-30,idm558
10,ZF12B5D015,00137020871,CT - Direzione Cultura,300.00,0.00,Piano promo pubblicitario Concerto di Capodanno 30 e 31 dicembre 2019/2020,23-AFFIDAMENTO DIRETTO,2019-12-23,2019-12-30,idm692
11,Z4F2B5CF8F,00137020871,CT - Direzione Cultura,300.00,0.00,Piano promo pubblicitario Concerto di Capodanno 30 e 31 dicembre 2019/2020,23-AFFIDAMENTO DIRETTO,2019-12-23,2019-12-30,idm826
