n,cig,strutturaProponente:codiceFiscaleProp,strutturaProponente:denominazione,importoAggiudicazione,importoSommeLiquidate,oggetto,sceltaContraente,tempiCompletamento:dataInizio,tempiCompletamento:dataUltimazione,lottoID
1,Z9D0AAD8E8,00351040423,Comune di Ancona - Settore Interventi di Riq. urbana - Edilizia storico monumentale,2131148.00,21311.48,CIVICA PINACOTECA INCARICO PER INTEGRAZIONE PROGETTO PRELIMINARE - REDAZIONE DEFINITIVO - ESECUTIVO DELL'ALLESTIMENTO,23-AFFIDAMENTO DIRETTO,2013-07-16,2019-03-18,idm3
2,5800623985,00351040423,"Comune di Ancona - Direzione Programmazione Beni e Servizi, Gare, Appalti e Contratti, Studi e Aggiornamenti Normativi",3302631.65,2151740.06,ADESIONE CONVENZIONE CONSIP FACILITY MANAGEMENT UFFICI 3 - LOTTO 6 (ABRUZZO-MARCHE),26-AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,2014-07-01,2020-02-29,idm35
3,5469782EE2,00351040423,"Comune di Ancona - Direzione Politiche Sociali, Servizi Scolastici ed Educativi",4405538.86,452249.15,AGGIUDICAZIONE DEFINITIVA R. P. BENINCASA,01-PROCEDURA APERTA,2014-05-01,2017-04-30,idm91
4,453754763C,00351040423,"Comune di Ancona - Direzione Lavori Pubblici e Programmazione, Grandi Opere, Riqual. Urbana,  Sport",117120.00,113600.00,Gestione Campo Sportivo Don Orione Saldo corrispettivo gestionale,23-AFFIDAMENTO DIRETTO,2014-01-01,2019-06-30,idm111
5,31989110DE,00351040423,"Comune di Ancona - Direzione Lavori Pubblici e Programmazione, Grandi Opere, Riqual. Urbana,  Sport",35044.80,35044.80,MODIFICA DETERMINAZIOENE DIRIGENZIALE N. 1340 DEL 25/07/2014 RELATIVA A CAMPO SPORTIVO VALLEMIANO  DETERMINAZIONE A CONTRARRE APPROVAZIONE CAPITOLATO SPECIALE D'ONERI E ATTI DI GARA,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,2014-07-01,2017-06-30,idm131
7,Z18112297B,00351040423,Comune di Ancona - Ufficio Informatica,33575.00,33575.00,PROCEDURA NEGOZIATA DI COTTIMO FIDUCIARIO PER LA FORNITURA DI UN SOFTWARE PER LA GESTIONE INFORMATIZZATA DEI PROCESSI DI REALIZZAZIONE DELLE OPERE PUBBLICHE. DETERMINA A CONTRARRE,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,2014-11-24,2018-12-31,idm186
8,45373893DA,00351040423,"Comune di Ancona - Direzione Lavori Pubblici e Programmazione, Grandi Opere, Riqual. Urbana,  Sport",133200.00,127033.40,"GESTIONE CAMPO SPORTIVO ASPIO ""ANGELO CALDERONI""",01-PROCEDURA APERTA,2010-07-01,2019-06-30,idm218
9,Z8513D41AE,00351040423,Comune di Ancona - Ufficio Informatica,37400.00,11790.49,AFFIDAMENTO UPGRADE SISTEMA INFORMATIVO DOCUMENTALE J-IRIDE ALLA DITTA MAGGIOLI SPA,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,2015-04-14,2015-12-31,idm238
10,59703096D7,00351040423,"Comune di Ancona - Direzione Finanze, Tributi, Soc.Partecipate,  Prog. Comunitari, Economato",114069.93,111192.81,SERVIZIO DI PULIZIA BAGNI PUBBLICI COM.LI  COOP. ATLANTE AGGIUDICAZIONE DEFINITIVA,01-PROCEDURA APERTA,2015-07-01,2019-03-31,idm258
11,62018497B1,00351040423,"Comune di Ancona - Direzione Politiche Sociali, Servizi Scolastici ed Educativi",5118048.00,0,aggiudicazione definitiva assistenza educativa scolastica domiciliare centri estivi disabili gravi Codess sociale Padova,01-PROCEDURA APERTA,2015-09-01,2019-08-31,idm284
12,6236798087,00351040423,"Comune di Ancona - Direzione Finanze, Tributi, Soc.Partecipate,  Prog. Comunitari, Economato",112600.00,48089.61,"PROCEDURA APERTA PER L'AFFIDAMENTO DELL’APPALTO DEL SERVIZIO DI MANUTENZIONE, RIPARAZIONE (MECCANICA ELETTRAUTO, CARROZZERIA, GOMMISTA) E LAVAGGIO DEI VEICOLI COMUNALI SUDDIVISO IN N.7 LOTTI -  Determinazione di aggiudicazione definitiva Lotto 1",01-PROCEDURA APERTA,2015-12-01,2019-11-30,idm304
13,62368245FA,00351040423,"Comune di Ancona - Direzione Finanze, Tributi, Soc.Partecipate,  Prog. Comunitari, Economato",59700.00,29156.19,"PROCEDURA APERTA PER L'AFFIDAMENTO DELL’APPALTO DEL SERVIZIO DI MANUTENZIONE, RIPARAZIONE (MECCANICA ELETTRAUTO, CARROZZERIA, GOMMISTA) E LAVAGGIO DEI VEICOLI COMUNALI SUDDIVISO IN N.7 LOTTI - Determinazione di aggiudicazione definitiva Lotto 2",01-PROCEDURA APERTA,2015-12-01,2019-05-31,idm330
14,62368370B6,00351040423,"Comune di Ancona - Direzione Finanze, Tributi, Soc.Partecipate,  Prog. Comunitari, Economato",162720.00,146726.40,"PROCEDURA APERTA PER L'AFFIDAMENTO DELL’APPALTO DEL SERVIZIO DI MANUTENZIONE, RIPARAZIONE (MECCANICA ELETTRAUTO, CARROZZERIA, GOMMISTA) E LAVAGGIO DEI VEICOLI COMUNALI SUDDIVISO IN N.7 LOTTI - Determinazione di aggiudicazione definitiva Lotto 3",01-PROCEDURA APERTA,2015-12-01,2019-05-31,idm353
15,62368668A2,00351040423,"Comune di Ancona - Direzione Finanze, Tributi, Soc.Partecipate,  Prog. Comunitari, Economato",74740.00,64657.96,"PROCEDURA APERTA PER L'AFFIDAMENTO DELL’APPALTO DEL SERVIZIO DI MANUTENZIONE, RIPARAZIONE (MECCANICA ELETTRAUTO, CARROZZERIA, GOMMISTA) E LAVAGGIO DEI VEICOLI COMUNALI SUDDIVISO IN N.7 LOTTI - Determinazione di aggiudicazione definitiva Lotto 5",01-PROCEDURA APERTA,2015-12-01,2019-09-30,idm382
16,6236871CC1,00351040423,"Comune di Ancona - Direzione Finanze, Tributi, Soc.Partecipate,  Prog. Comunitari, Economato",4935.00,2558.00,"PROCEDURA APERTA PER L'AFFIDAMENTO DELL’APPALTO DEL SERVIZIO DI MANUTENZIONE, RIPARAZIONE (MECCANICA ELETTRAUTO, CARROZZERIA, GOMMISTA) E LAVAGGIO DEI VEICOLI COMUNALI SUDDIVISO IN N.7 LOTTI - Determinazione di aggiudicazione definitiva Lotto 6",01-PROCEDURA APERTA,2015-12-01,2019-10-31,idm405
17,6059872C8F,00351040423,"Comune di Ancona - Direzione Lavori Pubblici e Programmazione, Grandi Opere, Riqual. Urbana,  Sport",937037.87,910756.41,AMPLIAMENTO MUSEO DELLA CITTA' AGGIUDICAZIONE DEFINITIVA DEI LAVORI,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,2015-09-24,2016-10-27,idm425
18,Z3216834D6,00351040423,"Comune di Ancona - Direzione Finanze, Tributi, Soc.Partecipate,  Prog. Comunitari, Economato",980.22,1319.94,PROCEDURA NEGOZIATA DI COTTIMO FIDUCIARIO MEDIANTE RICHIESTA D'OFFERTA (RDO) SU MEPA PER LA FORNITURA DI FOGLI PER REGISTRI DI STATO CIVILE ANNO 2016 - Determinazione a contrarre,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,2015-12-01,2016-11-30,idm465
19,64300748EB,00351040423,"Comune di Ancona - Direzione Ambiente,Green Economy (Energie rinn.li),  Verde Pubb, Cimiteri",75020.97,82339.25,LAVORI DI REALIZZAZIONE DI UN COLOMBARIO ALL'INTERNO DEL CIMITERO DI MONTESICURO- APPROVAZIONE PROGETTO ESECUTIVO - DETERMINA A CONTRATTARE - PROCEDURA  NEGOZIATA EX ART. 122 COMMA 7 DEL D.LGS. 163/2006 E S.M.I. – APPROVAZIONE AVVISO MANIFESTAZIONE D,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,2016-02-08,2016-04-07,idm491
20,647338564A,00351040423,"Comune di Ancona - Direzione Finanze, Tributi, Soc.Partecipate,  Prog. Comunitari, Economato",576800.00,380577.49,ADESIONE CONVENZIONE CONSIP (CARBURANTI RETE - FUEL CARD 6) PER LA FORNITURA DI CARBURANTE PER AUTOTRAZIONE - LOTTO 3,26-AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,2015-11-19,2019-04-30,idm541
21,Z7A158C16C,00351040423,"Comune di Ancona - Direzione Pianificazione Urbanistica, Edil. pubblica, Porto e Mobilità Urbana, Progetti Speciali, Ambiente e Green Economy",6344.00,5779.00,DETERMINA A CONTRARRE PER ACQUISTO COTTIMO FIDUCIARIO DI SERVIZIO ASSISTENZA PER PARERE VINCA,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,2015-12-11,2017-12-31,idm561
22,656237532A,00351040423,"Comune di Ancona - Direzione Cultura, Turismo, Musei e Gr.Eventi, Decentram,  Partecipazione, Politiche Giovanili, Città Universitaria",706041.72,638875.08,DETERMINAZIONE A CONTRARRE - PROCEDURA APERTA PER L'AFFIDAMENTO DEL SERVIZIO INFORMAGIOVANI - SALA AUDIOVISIVI. CIG 656237532A - FINO A FEBBRAIO 2019,01-PROCEDURA APERTA,2016-04-01,2019-02-28,idm581
23,6577475015,00351040423,"Comune di Ancona - Direzione Finanze, Tributi, Soc.Partecipate,  Prog. Comunitari, Economato",154561.60,105393.12,ADESIONE CONVENZIONE CONSIP - APPARECCHIATURE MULTIFUNZIONE 25 - NOLEGGIO - LOTTO 2,26-AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,2016-03-01,2021-02-28,idm601
24,ZAF188D3D8,00351040423,"Comune di Ancona - Direzione Finanze, Tributi, Soc.Partecipate,  Prog. Comunitari, Economato",35503.28,23130.24,ADESIONE CONVENZIONE CONSIP - APPARECCHIATURE MULTIFUNZIONE 25 - NOLEGGIO - LOTTO 3,26-AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE,2016-04-01,2021-03-31,idm621
26,Z5218C5E39,00351040423,Comune di Ancona - Ufficio Informatica,30800.00,35933.33,PROCEDURA NEGOZIATA DI COTTIMO FIDUCIARIO MEDIANTE RDO SU MEPA PER  MANUTENZIONE TRIENNALE N 600 LICENZS ANTIVIRUS SOPHOS,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,2016-04-01,2019-03-31,idm661
